# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00004239,,,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00004343,,,,WBGene00004343,WBGene00004343,History: N.A.
WBGene00004355,,,,WBGene00004355,WBGene00004355,History: N.A.
WBGene00004374,,,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00004458,,,,WBGene00004458,WBGene00004458,History: N.A.
WBGene00004459,,,,WBGene00004459,WBGene00004459,History: N.A.
WBGene00004465,,,,WBGene00004465,WBGene00004465,History: N.A.
WBGene00004467,,,,WBGene00004467,WBGene00004467,History: N.A.
WBGene00004504,,,,WBGene00004504,WBGene00004504,History: N.A.
WBGene00004508,,,,WBGene00004508,WBGene00004508,History: N.A.
WBGene00004510,,,,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004706,,,,WBGene00004706,WBGene00004706,History: N.A.
WBGene00004737,,,,WBGene00004737,WBGene00004737,History: N.A.
WBGene00004755,,,,WBGene00004755,WBGene00004755,History: N.A.
WBGene00004775,,,,WBGene00004775,WBGene00004775,History: Renamed on 2015-03-03
WBGene00004782,,,,WBGene00004782,WBGene00004782,History: N.A.
WBGene00004806,,,,WBGene00004806,WBGene00004806,History: N.A.
WBGene00004874,,,,WBGene00004874,WBGene00004874,History: N.A.
WBGene00004952,,,,WBGene00004952,WBGene00004952,History: N.A.
WBGene00004955,,,,WBGene00004955,WBGene00004955,History: N.A.
WBGene00004980,,,,WBGene00004980,WBGene00004980,History: N.A.
WBGene00006307,,,,WBGene00006307,WBGene00006307,History: N.A.
WBGene00006381,,,,WBGene00006381,WBGene00006381,History: N.A.
WBGene00006383,,,,WBGene00006383,WBGene00006383,History: N.A.
WBGene00006405,,,,WBGene00006405,WBGene00006405,History: N.A.
WBGene00006440,,,,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00006497,,,,WBGene00006497,WBGene00006497,History: N.A.
WBGene00006536,,,,WBGene00006536,WBGene00006536,History: N.A.
WBGene00006565,,,,WBGene00006565,WBGene00006565,History: N.A.
WBGene00006571,,,,WBGene00006571,WBGene00006571,History: N.A.
WBGene00006647,,,,WBGene00006647,WBGene00006647,History: N.A.
