# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
genes encoding for tRNAs,Unnamed: 1,Input,Suggested Match,History
WBGene00023101,,WBGene00023101,WBGene00023101,History: N.A.
WBGene00023100,,WBGene00023100,WBGene00023100,History: N.A.
WBGene00014390,,WBGene00014390,WBGene00014390,History: N.A.
WBGene00014353,,WBGene00014353,WBGene00014353,History: N.A.
WBGene00023077,,WBGene00023077,WBGene00023077,History: N.A.
WBGene00014380,,WBGene00014380,WBGene00014380,History: N.A.
WBGene00023042,,WBGene00023042,WBGene00023042,History: N.A.
WBGene00023017,,WBGene00023017,WBGene00023017,History: N.A.
WBGene00014420,,WBGene00014420,WBGene00014420,History: N.A.
WBGene00023099,,WBGene00023099,WBGene00023099,History: N.A.
WBGene00023080,,WBGene00023080,WBGene00023080,History: N.A.
WBGene00023054,,WBGene00023054,WBGene00023054,History: N.A.
WBGene00014345,,WBGene00014345,WBGene00014345,History: N.A.
WBGene00023113,,WBGene00023113,WBGene00023113,History: N.A.
WBGene00014428,,WBGene00014428,WBGene00014428,History: N.A.
WBGene00023087,,WBGene00023087,WBGene00023087,History: N.A.
WBGene00014423,,WBGene00014423,WBGene00014423,History: N.A.
WBGene00014361,,WBGene00014361,WBGene00014361,History: N.A.
WBGene00023045,,WBGene00023045,WBGene00023045,History: N.A.
WBGene00014356,,WBGene00014356,WBGene00014356,History: N.A.
WBGene00023122,,WBGene00023122,WBGene00023122,History: N.A.
WBGene00023203,,WBGene00023203,WBGene00023203,History: N.A.
WBGene00014590,,WBGene00014590,WBGene00014590,History: N.A.
