# Table S2. Genes depleted for 22G-RNAs in parn-1,prg-1,and parn-1; prg-1 double mutant animals,Related to Figure 6
# # ""FALSE"" indicates  fold change ≤ 2,NA,NA,NA
# # ""TRUE"" indicates  fold change > 2,NA,NA,NA
# #  Genes with Reads Per Million greater than 10 in wild-type were listed,NA,NA,NA
WormBaseID,Gene_symbol_1,Gene_symbol_2,wild-type vs. parn-1,wild-type vs .prg-1,wild-type vs. prg-1; parn-1,wild-type,parn-1,prg-1,prg-1; parn-1,Input,Suggested Match,History
WBGene00000237,bam-2,Y71F9AR.1,False,True,True,12.13831857,42.4017361,1.4735327,1.071908196,WBGene00000237,WBGene00000237,History: N.A.
WBGene00000247,bec-1,T19E7.3,False,False,False,25.39413313,34.39702574,62.87548016,61.63727341,WBGene00000247,WBGene00000247,History: Renamed on 2008-02-29
WBGene00000249,bir-1,T27F2.3,False,False,False,14.56598228,16.11265972,27.11300169,29.01808615,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000250,bir-2,C50B8.2,False,False,False,22.92793507,43.9918012,14.44062046,14.77702013,WBGene00000250,WBGene00000250,History: N.A.
WBGene00000253,bli-3,F56C11.1,True,True,True,14.56598228,1.236717303,0.0,0.0,WBGene00000253,WBGene00000253,History: N.A.
WBGene00000254,bli-4,K04F10.4,False,False,True,31.9642389,34.13339756,18.56651202,13.01602809,WBGene00000254,WBGene00000254,History: N.A.
WBGene00000257,bmk-1,F23B12.8,False,False,False,114.7745456,119.9969132,221.7666714,191.5653075,WBGene00000257,WBGene00000257,History: N.A.
WBGene00000259,bpl-1,F13H8.10,False,False,True,15.37520352,20.77685069,12.37767468,7.50335737,WBGene00000259,WBGene00000259,History: N.A.
WBGene00000262,bra-1,F54B11.6,True,True,True,20.77001177,4.45218229,0.0,0.306259484,WBGene00000262,WBGene00000262,History: N.A.
WBGene00000264,brc-1,C36A4.8,False,False,False,26.86369291,37.20752342,42.99908756,52.40014707,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000265,brd-1,K04C2.4,False,False,False,24.54637755,28.62117187,54.96276972,44.30553875,WBGene00000265,WBGene00000265,History: N.A.
WBGene00000267,bre-2,Y39E4B.9,False,True,True,29.13196456,28.62117187,0.0,0.153129742,WBGene00000267,WBGene00000267,History: N.A.
WBGene00000270,bre-5,T12G3.8,False,True,True,12.40805898,12.29650347,3.094418671,1.760992036,WBGene00000270,WBGene00000270,History: N.A.
WBGene00000271,brf-1,F45E12.2,False,False,False,27.37865188,38.16156249,57.90983512,46.934266,WBGene00000271,WBGene00000271,History: N.A.
WBGene00000274,btf-1,F15D4.1,False,False,False,57.27488095,79.2912465,116.0996415,103.4391409,WBGene00000274,WBGene00000274,History: N.A.
WBGene00000275,bub-1,R06C7.8,False,False,False,87.93537451,155.4023628,203.4211893,162.3940916,WBGene00000275,WBGene00000275,History: N.A.
WBGene00000276,byn-1,F57B9.5,False,False,False,25.08585837,31.37728471,56.73100896,48.00617419,WBGene00000276,WBGene00000276,History: N.A.
WBGene00000292,cap-1,D2024.6,False,False,False,12.40805898,16.53667708,38.90126329,33.30571894,WBGene00000292,WBGene00000292,History: N.A.
WBGene00000293,cap-2,M106.5,False,False,False,18.61208847,29.15119357,54.96276972,32.15724587,WBGene00000293,WBGene00000293,History: N.A.
WBGene00000294,cas-1,F41G4.2,True,True,True,12.67779939,6.254256074,0.88411962,0.663562216,WBGene00000294,WBGene00000294,History: N.A.
WBGene00000366,cbp-1,R10E11.1,False,False,False,64.69274229,58.44372625,80.70047422,80.16342006,WBGene00000366,WBGene00000366,History: N.A.
WBGene00000368,ccb-1,T28F2.5,False,True,True,11.46396754,6.047683514,1.17882616,1.110190631,WBGene00000368,WBGene00000368,History: Renamed on 2015-03-05
WBGene00000369,ccf-1,Y56A3A.20,False,False,False,27.7832625,33.39136718,57.69933045,46.09205241,WBGene00000369,WBGene00000369,History: N.A.
WBGene00000371,cco-1,F26E4.9,False,False,False,11.32909733,8.268338539,12.37767468,10.41282247,WBGene00000371,WBGene00000371,History: Renamed on 2017-09-05
WBGene00000375,cyp-44A1,ZK177.5,False,False,False,12.40805898,12.50851215,16.2088597,18.75839342,WBGene00000375,WBGene00000375,History: N.A.
WBGene00000376,ccr-4,ZC518.3,False,False,False,25.08585837,34.45141058,63.11631733,55.35640182,WBGene00000376,WBGene00000376,History: N.A.
