# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Downregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00018485,WBGene00018485,WBGene00018485,History: N.A.
P0-F1,WBGene00000287,WBGene00000287,WBGene00000287,History: N.A.
P0-F1,WBGene00004215,WBGene00004215,WBGene00004215,History: Renamed on 2015-07-01
P0-F1,WBGene00003654,WBGene00003654,WBGene00003654,History: N.A.
P0-F1,WBGene00008360,WBGene00008360,WBGene00008360,History: N.A.
P0-F1,WBGene00012922,WBGene00012922,WBGene00012922,History: N.A.
P0-F1,WBGene00249826,WBGene00249826,WBGene00249826,History: N.A.
P0-F1,WBGene00018606,WBGene00018606,WBGene00018606,History: N.A.
P0-F1,WBGene00009558,WBGene00009558,WBGene00009558,History: N.A.
P0-F1,WBGene00000387,WBGene00000387,WBGene00000387,History: Renamed on 2015-03-06
P0-F1,WBGene00009804,WBGene00009804,WBGene00009804,History: N.A.
P0-F1,WBGene00017796,WBGene00017796,WBGene00017796,History: N.A.
P0-F1,WBGene00010945,WBGene00010945,WBGene00010945,History: N.A.
P0-F1,WBGene00009697,WBGene00009697,WBGene00009697,History: N.A.
P0-F1,WBGene00011430,WBGene00011430,WBGene00011430,History: N.A.
P0-F1,WBGene00007302,WBGene00007302,WBGene00007302,History: N.A.
P0-F1,WBGene00010334,WBGene00010334,WBGene00010334,History: N.A.
P0-F1,WBGene00044330,WBGene00044330,WBGene00044330,History: Renamed on 2005-08-26
P0-F1,WBGene00022324,WBGene00022324,WBGene00022324,History: N.A.
P0-F1,WBGene00017618,WBGene00017618,WBGene00017618,History: N.A.
P0-F1,WBGene00044025,WBGene00044025,WBGene00044025,History: N.A.
P0-F1,WBGene00022536,WBGene00022536,WBGene00022536,History: N.A.
P0-F1,WBGene00016546,WBGene00016546,WBGene00016546,History: N.A.
P0-F1,WBGene00016345,WBGene00016345,WBGene00016345,History: N.A.
P0-F1,WBGene00002087,WBGene00002087,WBGene00002087,History: N.A.
P0-F1,WBGene00001118,WBGene00001118,WBGene00001118,History: Renamed on 2023-05-05
P0-F1,WBGene00000092,WBGene00000092,WBGene00000092,History: N.A.
P0-F1,WBGene00044640,WBGene00044640,WBGene00044640,History: N.A.
P0-F1,WBGene00013692,WBGene00013692,WBGene00013692,History: N.A.
P0-F1,WBGene00009315,WBGene00009315,WBGene00009315,History: N.A.
P0-F1,WBGene00013847,WBGene00013847,WBGene00013847,History: N.A.
P0-F1,WBGene00017900,WBGene00017900,WBGene00017900,History: N.A.
