# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000938,,,,WBGene00000938,WBGene00000938,History: N.A.
WBGene00000959,,,,WBGene00000959,WBGene00000959,History: N.A.
WBGene00000961,,,,WBGene00000961,WBGene00000961,History: N.A.
WBGene00000973,,,,WBGene00000973,WBGene00000973,History: N.A.
WBGene00000980,,,,WBGene00000980,WBGene00000980,History: N.A.
WBGene00000982,,,,WBGene00000982,WBGene00000982,History: N.A.
WBGene00000988,,,,WBGene00000988,WBGene00000988,History: N.A.
WBGene00000990,,,,WBGene00000990,WBGene00000990,"History: Split into C04F6.7(WBGene00195081). History of WBGene00000990: Split into ""WBGene00195081"" on 2010-04-28"
WBGene00000995,,,,WBGene00000995,WBGene00000995,History: N.A.
WBGene00001000,,,,WBGene00001000,WBGene00001000,History: N.A.
WBGene00001002,,,,WBGene00001002,WBGene00001002,History: Renamed on 2013-04-26
WBGene00001006,,,,WBGene00001006,WBGene00001006,History: N.A.
WBGene00001008,,,,WBGene00001008,WBGene00001008,History: N.A.
WBGene00001017,,,,WBGene00001017,WBGene00001017,History: N.A.
WBGene00001025,,,,WBGene00001025,WBGene00001025,History: N.A.
WBGene00001030,,,,WBGene00001030,WBGene00001030,History: N.A.
WBGene00001032,,,,WBGene00001032,WBGene00001032,History: N.A.
WBGene00001037,,,,WBGene00001037,WBGene00001037,History: Renamed on 2005-12-16
WBGene00001038,,,,WBGene00001038,WBGene00001038,History: N.A.
WBGene00001040,,,,WBGene00001040,WBGene00001040,History: N.A.
WBGene00001041,,,,WBGene00001041,WBGene00001041,History: N.A.
WBGene00001045,,,,WBGene00001045,WBGene00001045,History: N.A.
WBGene00001072,,,,WBGene00001072,WBGene00001072,"History: Split into T14B4.19(WBGene00302993). History of WBGene00001072: Split into ""WBGene00302993"" on 2018-03-06"
WBGene00001076,,,,WBGene00001076,WBGene00001076,History: N.A.
WBGene00001077,,,,WBGene00001077,WBGene00001077,History: N.A.
WBGene00001078,,,,WBGene00001078,WBGene00001078,History: N.A.
WBGene00001080,,,,WBGene00001080,WBGene00001080,History: N.A.
WBGene00001081,,,,WBGene00001081,WBGene00001081,History: N.A.
WBGene00001082,,,,WBGene00001082,WBGene00001082,History: N.A.
WBGene00001085,,,,WBGene00001085,WBGene00001085,History: N.A.
