# Supplementary File 5,Sheet 8: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00010768,-2.66753797241509,-2.41155412642212,WBGene00010768,WBGene00010768,History: N.A.
WBGene00000785,-2.65320926943349,-1.00181844680233,WBGene00000785,WBGene00000785,History: N.A.
WBGene00021263,-2.60264622011907,-1.10996629386149,WBGene00021263,WBGene00021263,History: N.A.
WBGene00001858,-2.59028866152899,-1.41966874344205,WBGene00001858,WBGene00001858,History: Renamed on 2010-11-12
WBGene00018772,-2.47298705416348,-2.07705495840303,WBGene00018772,WBGene00018772,History: N.A.
WBGene00017153,-2.46360501248349,-2.43194025465222,WBGene00017153,WBGene00017153,History: N.A.
WBGene00077558,-2.45831969168616,-1.98976009630327,WBGene00077558,WBGene00077558,History: N.A.
WBGene00021025,-2.39330320715861,-1.54420264554584,WBGene00021025,WBGene00021025,History: N.A.
WBGene00017484,-2.37767496059849,-1.12399777896552,WBGene00017484,WBGene00017484,History: N.A.
WBGene00011175,-2.35162903195861,-1.67085746592018,WBGene00011175,WBGene00011175,History: N.A.
WBGene00000463,-2.35036167081278,-1.33700566441592,WBGene00000463,WBGene00000463,History: Renamed on 2013-07-26
WBGene00021986,-2.34020392692234,-2.85271769445594,WBGene00021986,WBGene00021986,History: N.A.
WBGene00016866,-2.31918843561261,-1.19071618521501,WBGene00016866,WBGene00016866,History: N.A.
WBGene00008102,-2.3118909020664,-2.10142852789226,WBGene00008102,WBGene00008102,History: N.A.
WBGene00000556,-2.30577570455092,-1.91553388929181,WBGene00000556,WBGene00000556,History: N.A.
WBGene00001108,-2.27102997573777,-1.78710816641707,WBGene00001108,WBGene00001108,History: N.A.
WBGene00015613,-2.25368073960171,-1.24660223146708,WBGene00015613,WBGene00015613,History: N.A.
WBGene00189956,-2.24818639788571,-1.11019836382131,WBGene00189956,WBGene00189956,History: N.A.
WBGene00044901,-2.19502747619889,-1.42102777534844,WBGene00044901,WBGene00044901,History: N.A.
WBGene00015781,-2.18233603413529,-1.49409553390266,WBGene00015781,WBGene00015781,History: N.A.
WBGene00021525,-2.17692884909213,-2.15699189828226,WBGene00021525,WBGene00021525,History: N.A.
WBGene00010184,-2.17586578736939,-1.0341741297484,WBGene00010184,WBGene00010184,History: N.A.
WBGene00001069,-2.13441436906011,-2.29024442152426,WBGene00001069,WBGene00001069,History: N.A.
WBGene00010209,-2.10315112735688,-1.12516138146592,WBGene00010209,WBGene00010209,History: N.A.
WBGene00015178,-2.08735732578036,-1.19871384736502,WBGene00015178,WBGene00015178,History: N.A.
WBGene00019094,-2.07704989772346,-1.18675687013117,WBGene00019094,WBGene00019094,History: N.A.
WBGene00189952,-2.06944102893616,-1.14353250603485,WBGene00189952,WBGene00189952,History: N.A.
WBGene00008221,-2.04905393125381,-1.18733795223971,WBGene00008221,WBGene00008221,History: N.A.
WBGene00044799,-2.0354735449531,-1.50422177273939,WBGene00044799,WBGene00044799,History: N.A.
WBGene00021416,-2.02743863985588,-1.51908448950197,WBGene00021416,WBGene00021416,History: N.A.
WBGene00012867,-2.01468895485255,-1.86356138647108,WBGene00012867,WBGene00012867,History: N.A.
WBGene00019514,-2.00026908148528,-1.74685535722809,WBGene00019514,WBGene00019514,History: N.A.
WBGene00003385,-1.9996237941356,-1.18934572085095,WBGene00003385,WBGene00003385,History: N.A.
WBGene00004150,-1.98972052469911,-1.1290934838448,WBGene00004150,WBGene00004150,History: N.A.
WBGene00010005,-1.97964477489048,-1.68633420696574,WBGene00010005,WBGene00010005,History: N.A.
WBGene00021701,-1.95652360213184,-1.90690340274338,WBGene00021701,WBGene00021701,History: N.A.
WBGene00000455,-1.94105991580196,-1.12884322360692,WBGene00000455,WBGene00000455,History: N.A.
WBGene00004052,-1.9404715695915,-1.22990438264615,WBGene00004052,WBGene00004052,History: Renamed on 2014-11-18
WBGene00012197,-1.90662800189316,-1.02658416894965,WBGene00012197,WBGene00012197,History: N.A.
WBGene00014178,-1.87606592945732,-1.29079611448537,WBGene00014178,WBGene00014178,History: N.A.
WBGene00018215,-1.85213455427164,-1.16821383339019,WBGene00018215,WBGene00018215,History: N.A.
WBGene00011610,-1.84537470800967,-1.73453091555433,WBGene00011610,WBGene00011610,History: N.A.
WBGene00001076,-1.83233325243083,-1.75568032904662,WBGene00001076,WBGene00001076,History: N.A.
WBGene00011383,-1.75658534649415,-1.35596814167991,WBGene00011383,WBGene00011383,History: N.A.
WBGene00269433,-1.70049345108256,-1.52515413472511,WBGene00269433,WBGene00269433,History: N.A.
WBGene00000558,-1.70043521627989,-1.71921308112903,WBGene00000558,WBGene00000558,History: N.A.
WBGene00010295,-1.69019972538334,-1.16294888417862,WBGene00010295,WBGene00010295,History: N.A.
WBGene00006956,-1.67847730017636,-1.16376037854328,WBGene00006956,WBGene00006956,History: N.A.
WBGene00012191,-1.66553817917878,-1.05792746471479,WBGene00012191,WBGene00012191,History: N.A.
WBGene00235353,-1.64827373376842,-1.00505615281876,WBGene00235353,WBGene00235353,History: N.A.
WBGene00000928,-1.6000092451679,-1.67660531602082,WBGene00000928,WBGene00000928,History: N.A.
WBGene00015504,-1.59606961603818,-2.8955208961334,WBGene00015504,WBGene00015504,History: N.A.
WBGene00009877,-1.57860437204625,-1.10877593267507,WBGene00009877,WBGene00009877,History: N.A.
WBGene00005018,-1.53521727799001,-1.49669090501456,WBGene00005018,WBGene00005018,History: Renamed on 2005-08-23
WBGene00022730,-1.51645678495629,-2.13523628736302,WBGene00022730,WBGene00022730,History: N.A.
WBGene00022020,-1.51229070128042,-1.47375093098448,WBGene00022020,WBGene00022020,History: N.A.
WBGene00006616,-1.47900533230088,-1.10343302850217,WBGene00006616,WBGene00006616,History: N.A.
WBGene00013531,-1.47732521284757,-1.26348485998668,WBGene00013531,WBGene00013531,History: N.A.
WBGene00018547,-1.46846319852797,-1.37556723119027,WBGene00018547,WBGene00018547,History: N.A.
WBGene00001064,-1.45380026476694,-1.31554486152711,WBGene00001064,WBGene00001064,History: N.A.
WBGene00011435,-1.3781849403745,-1.29575132179271,WBGene00011435,WBGene00011435,History: N.A.
WBGene00007375,-1.32102570990208,-1.67018822462033,WBGene00007375,WBGene00007375,"History: Split into C06C3.12(WBGene00175031). History of WBGene00007375: Split into ""WBGene00175031"" on 2008-12-09"
WBGene00021808,-1.31565069305981,-1.39580478042805,WBGene00021808,WBGene00021808,History: N.A.
WBGene00020183,-1.29715405780648,-2.02983852618181,WBGene00020183,WBGene00020183,History: N.A.
WBGene00010573,-1.21429935551557,-1.2134870522447,WBGene00010573,WBGene00010573,History: N.A.
WBGene00010212,-1.18786642920738,-1.02425028083358,WBGene00010212,WBGene00010212,History: N.A.
WBGene00009156,-1.17016731940179,-1.69787814057432,WBGene00009156,WBGene00009156,History: N.A.
WBGene00015403,-1.15018033378808,-1.45468830837632,WBGene00015403,WBGene00015403,History: N.A.
WBGene00001791,-1.13588919453107,-1.06575996396086,WBGene00001791,WBGene00001791,History: N.A.
WBGene00021529,-1.07845142086843,-1.59404970451604,WBGene00021529,WBGene00021529,History: N.A.
