# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Late degraded (1572),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001372,,,,WBGene00001372,WBGene00001372,History: N.A.
WBGene00001393,,,,WBGene00001393,WBGene00001393,History: N.A.
WBGene00001412,,,,WBGene00001412,WBGene00001412,History: N.A.
WBGene00001485,,,,WBGene00001485,WBGene00001485,History: N.A.
WBGene00001486,,,,WBGene00001486,WBGene00001486,History: N.A.
WBGene00001494,,,,WBGene00001494,WBGene00001494,History: N.A.
WBGene00001509,,,,WBGene00001509,WBGene00001509,History: N.A.
WBGene00001513,,,,WBGene00001513,WBGene00001513,History: N.A.
WBGene00001558,,,,WBGene00001558,WBGene00001558,History: N.A.
WBGene00001569,,,,WBGene00001569,WBGene00001569,History: Renamed on 2014-08-15
WBGene00001598,,,,WBGene00001598,WBGene00001598,History: N.A.
WBGene00001600,,,,WBGene00001600,WBGene00001600,History: N.A.
WBGene00001609,,,,WBGene00001609,WBGene00001609,History: N.A.
WBGene00001639,,,,WBGene00001639,WBGene00001639,History: N.A.
WBGene00001678,,,,WBGene00001678,WBGene00001678,History: N.A.
WBGene00001760,,,,WBGene00001760,WBGene00001760,History: N.A.
WBGene00001808,,,,WBGene00001808,WBGene00001808,History: N.A.
WBGene00001811,,,,WBGene00001811,WBGene00001811,History: N.A.
WBGene00001813,,,,WBGene00001813,WBGene00001813,History: N.A.
WBGene00001838,,,,WBGene00001838,WBGene00001838,History: N.A.
WBGene00001855,,,,WBGene00001855,WBGene00001855,History: Renamed on 2010-11-12
WBGene00001874,,,,WBGene00001874,WBGene00001874,History: N.A.
WBGene00001955,,,,WBGene00001955,WBGene00001955,History: N.A.
WBGene00001975,,,,WBGene00001975,WBGene00001975,History: N.A.
WBGene00001983,,,,WBGene00001983,WBGene00001983,History: N.A.
WBGene00001998,,,,WBGene00001998,WBGene00001998,History: N.A.
WBGene00002004,,,,WBGene00002004,WBGene00002004,History: N.A.
WBGene00002008,,,,WBGene00002008,WBGene00002008,History: N.A.
WBGene00002027,,,,WBGene00002027,WBGene00002027,History: N.A.
WBGene00002028,,,,WBGene00002028,WBGene00002028,History: N.A.
WBGene00002033,,,,WBGene00002033,WBGene00002033,History: N.A.
WBGene00002036,,,,WBGene00002036,WBGene00002036,History: N.A.
WBGene00002059,,,,WBGene00002059,WBGene00002059,History: N.A.
WBGene00002064,,,,WBGene00002064,WBGene00002064,History: N.A.
WBGene00002068,,,,WBGene00002068,WBGene00002068,History: N.A.
WBGene00002075,,,,WBGene00002075,WBGene00002075,History: Renamed on 2015-03-05
WBGene00002076,,,,WBGene00002076,WBGene00002076,History: N.A.
WBGene00002079,,,,WBGene00002079,WBGene00002079,History: Renamed on 2008-01-30
WBGene00002133,,,,WBGene00002133,WBGene00002133,History: N.A.
WBGene00002147,,,,WBGene00002147,WBGene00002147,History: N.A.
WBGene00002148,,,,WBGene00002148,WBGene00002148,History: Renamed on 2006-03-22
WBGene00002151,,,,WBGene00002151,WBGene00002151,History: N.A.
WBGene00002153,,,,WBGene00002153,WBGene00002153,"History: Split into C25A1.20(WBGene00303030). History of WBGene00002153: Renamed on 2010-01-29; Split into ""WBGene00303030"" on 2018-03-06"
WBGene00002192,,,,WBGene00002192,WBGene00002192,History: N.A.
WBGene00002201,,,,WBGene00002201,WBGene00002201,History: N.A.
WBGene00002228,,,,WBGene00002228,WBGene00002228,History: N.A.
WBGene00002240,,,,WBGene00002240,WBGene00002240,History: N.A.
WBGene00002249,,,,WBGene00002249,WBGene00002249,History: N.A.
WBGene00002267,,,,WBGene00002267,WBGene00002267,History: N.A.
WBGene00002275,,,,WBGene00002275,WBGene00002275,History: N.A.
WBGene00002276,,,,WBGene00002276,WBGene00002276,History: N.A.
WBGene00002344,,,,WBGene00002344,WBGene00002344,History: N.A.
