# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00013053,,WBGene00013053,WBGene00013053,History: N.A.
WBGene00010082,,WBGene00010082,WBGene00010082,History: N.A.
WBGene00000269,,WBGene00000269,WBGene00000269,History: N.A.
WBGene00012927,,WBGene00012927,WBGene00012927,History: N.A.
WBGene00017742,,WBGene00017742,WBGene00017742,History: N.A.
WBGene00009673,,WBGene00009673,WBGene00009673,History: N.A.
WBGene00022836,,WBGene00022836,WBGene00022836,History: N.A.
WBGene00011088,,WBGene00011088,WBGene00011088,History: N.A.
WBGene00007756,,WBGene00007756,WBGene00007756,History: N.A.
WBGene00013513,,WBGene00013513,WBGene00013513,History: N.A.
WBGene00008346,,WBGene00008346,WBGene00008346,History: N.A.
WBGene00020716,,WBGene00020716,WBGene00020716,History: N.A.
WBGene00020381,,WBGene00020381,WBGene00020381,History: N.A.
WBGene00015327,,WBGene00015327,WBGene00015327,History: N.A.
WBGene00017213,,WBGene00017213,WBGene00017213,History: N.A.
WBGene00019724,,WBGene00019724,WBGene00019724,History: N.A.
WBGene00000117,,WBGene00000117,WBGene00000117,History: N.A.
WBGene00008147,,WBGene00008147,WBGene00008147,History: N.A.
WBGene00019504,,WBGene00019504,WBGene00019504,History: N.A.
WBGene00015350,,WBGene00015350,WBGene00015350,History: N.A.
WBGene00021640,,WBGene00021640,WBGene00021640,History: N.A.
WBGene00006770,,WBGene00006770,WBGene00006770,"History: Split into Y50D4C.12(WBGene00303091). History of WBGene00006770: Split into ""WBGene00303091"" on 2018-03-02"
WBGene00015191,,WBGene00015191,WBGene00015191,History: N.A.
WBGene00014103,,WBGene00014103,WBGene00014103,History: N.A.
WBGene00021382,,WBGene00021382,WBGene00021382,History: N.A.
WBGene00009665,,WBGene00009665,WBGene00009665,History: N.A.
WBGene00010323,,WBGene00010323,WBGene00010323,History: N.A.
WBGene00007117,,WBGene00007117,WBGene00007117,History: N.A.
WBGene00012977,,WBGene00012977,WBGene00012977,History: N.A.
WBGene00018511,,WBGene00018511,WBGene00018511,History: N.A.
WBGene00015287,,WBGene00015287,WBGene00015287,History: N.A.
WBGene00003499,,WBGene00003499,WBGene00003499,History: Renamed on 2006-07-10
WBGene00012307,,WBGene00012307,WBGene00012307,History: N.A.
WBGene00016905,,WBGene00016905,WBGene00016905,History: N.A.
WBGene00009556,,WBGene00009556,WBGene00009556,History: N.A.
WBGene00004909,,WBGene00004909,WBGene00004909,History: N.A.
WBGene00005025,,WBGene00005025,WBGene00005025,History: N.A.
WBGene00001815,,WBGene00001815,WBGene00001815,History: N.A.
WBGene00000420,,WBGene00000420,WBGene00000420,History: N.A.
WBGene00013365,,WBGene00013365,WBGene00013365,History: N.A.
WBGene00020580,,WBGene00020580,WBGene00020580,History: N.A.
