# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Upregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00015698,WBGene00015698,WBGene00015698,History: N.A.
P0-F1,WBGene00010847,WBGene00010847,WBGene00010847,History: N.A.
P0-F1,WBGene00000913,WBGene00000913,WBGene00000913,History: N.A.
P0-F1,WBGene00001243,WBGene00001243,WBGene00001243,History: N.A.
P0-F1,WBGene00020464,WBGene00020464,WBGene00020464,History: Renamed on 2021-04-19
P0-F1,WBGene00015273,WBGene00015273,WBGene00015273,History: N.A.
P0-F1,WBGene00010989,WBGene00010989,WBGene00010989,History: N.A.
P0-F1,WBGene00007153,WBGene00007153,WBGene00007153,History: N.A.
P0-F1,WBGene00008634,WBGene00008634,WBGene00008634,History: N.A.
P0-F1,WBGene00004130,WBGene00004130,WBGene00004130,History: N.A.
P0-F1,WBGene00010233,WBGene00010233,WBGene00010233,History: N.A.
P0-F1,WBGene00006466,WBGene00006466,WBGene00006466,History: N.A.
P0-F1,WBGene00003155,WBGene00003155,WBGene00003155,History: N.A.
P0-F1,WBGene00000694,WBGene00000694,WBGene00000694,History: N.A.
P0-F1,WBGene00010013,WBGene00010013,WBGene00010013,History: N.A.
P0-F1,WBGene00021549,WBGene00021549,WBGene00021549,History: N.A.
P0-F1,WBGene00015780,WBGene00015780,WBGene00015780,History: N.A.
P0-F1,WBGene00016143,WBGene00016143,WBGene00016143,History: N.A.
P0-F1,WBGene00009057,WBGene00009057,WBGene00009057,History: N.A.
P0-F1,WBGene00003169,WBGene00003169,WBGene00003169,History: N.A.
P0-F1,WBGene00009824,WBGene00009824,WBGene00009824,History: N.A.
P0-F1,WBGene00018586,WBGene00018586,WBGene00018586,History: N.A.
P0-F1,WBGene00004705,WBGene00004705,WBGene00004705,History: N.A.
P0-F1,WBGene00021227,WBGene00021227,WBGene00021227,History: N.A.
P0-F1,WBGene00255375,WBGene00255375,WBGene00255375,History: N.A.
P0-F1,WBGene00000136,WBGene00000136,WBGene00000136,History: N.A.
P0-F1,WBGene00009731,WBGene00009731,WBGene00009731,History: N.A.
P0-F1,WBGene00022201,WBGene00022201,WBGene00022201,History: N.A.
P0-F1,WBGene00003159,WBGene00003159,WBGene00003159,History: N.A.
P0-F1,WBGene00006443,WBGene00006443,WBGene00006443,History: Renamed on 2005-09-08; Renamed on 2006-12-04
P0-F1,WBGene00007766,WBGene00007766,WBGene00007766,History: N.A.
P0-F1,WBGene00008259,WBGene00008259,WBGene00008259,History: N.A.
P0-F1,WBGene00000022,WBGene00000022,WBGene00000022,History: N.A.
P0-F1,WBGene00021536,WBGene00021536,WBGene00021536,History: N.A.
P0-F1,WBGene00017825,WBGene00017825,WBGene00017825,History: N.A.
P0-F1,WBGene00014941,WBGene00014941,WBGene00014941,History: N.A.
P0-F1,WBGene00018681,WBGene00018681,WBGene00018681,History: N.A.
P0-F1,WBGene00018950,WBGene00018950,WBGene00018950,History: N.A.
P0-F1,WBGene00016163,WBGene00016163,WBGene00016163,History: N.A.
P0-F1,WBGene00003177,WBGene00003177,WBGene00003177,History: N.A.
P0-F1,WBGene00019600,WBGene00019600,WBGene00019600,History: N.A.
P0-F1,WBGene00010034,WBGene00010034,WBGene00010034,History: N.A.
P0-F1,WBGene00021893,WBGene00021893,WBGene00021893,History: N.A.
P0-F1,WBGene00003154,WBGene00003154,WBGene00003154,History: N.A.
P0-F1,WBGene00003813,WBGene00003813,WBGene00003813,History: N.A.
P0-F1,WBGene00009460,WBGene00009460,WBGene00009460,History: Renamed on 2016-11-04
P0-F1,WBGene00004467,WBGene00004467,WBGene00004467,History: N.A.
P0-F1,WBGene00019692,WBGene00019692,WBGene00019692,History: Renamed on 2017-12-07
P0-F1,WBGene00022360,WBGene00022360,WBGene00022360,History: N.A.
P0-F1,WBGene00010845,WBGene00010845,WBGene00010845,History: Renamed on 2022-10-03
P0-F1,WBGene00002297,WBGene00002297,WBGene00002297,History: Renamed on 2005-09-28
P0-F1,WBGene00001093,WBGene00001093,WBGene00001093,History: N.A.
P0-F1,WBGene00002047,WBGene00002047,WBGene00002047,History: N.A.
P0-F1,WBGene00007329,WBGene00007329,WBGene00007329,History: N.A.
P0-F1,WBGene00012552,WBGene00012552,WBGene00012552,History: N.A.
P0-F1,WBGene00013482,WBGene00013482,WBGene00013482,History: N.A.
P0-F1,WBGene00007145,WBGene00007145,WBGene00007145,History: N.A.
P0-F1,WBGene00006915,WBGene00006915,WBGene00006915,History: N.A.
P0-F1,WBGene00012713,WBGene00012713,WBGene00012713,History: N.A.
P0-F1,WBGene00001595,WBGene00001595,WBGene00001595,History: N.A.
P0-F1,WBGene00000010,WBGene00000010,WBGene00000010,History: N.A.
P0-F1,WBGene00008001,WBGene00008001,WBGene00008001,History: N.A.
P0-F1,WBGene00000836,WBGene00000836,WBGene00000836,History: N.A.
P0-F1,WBGene00016398,WBGene00016398,WBGene00016398,History: N.A.
P0-F1,WBGene00022452,WBGene00022452,WBGene00022452,History: N.A.
P0-F1,WBGene00009272,WBGene00009272,WBGene00009272,History: N.A.
P0-F1,WBGene00008642,WBGene00008642,WBGene00008642,History: N.A.
P0-F1,WBGene00012809,WBGene00012809,WBGene00012809,History: N.A.
P0-F1,WBGene00004217,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
P0-F1,WBGene00014119,WBGene00014119,WBGene00014119,History: N.A.
P0-F1,WBGene00009112,WBGene00009112,WBGene00009112,History: N.A.
P0-F1,WBGene00011501,WBGene00011501,WBGene00011501,History: N.A.
P0-F1,WBGene00000655,WBGene00000655,WBGene00000655,History: N.A.
P0-F1,WBGene00004755,WBGene00004755,WBGene00004755,History: N.A.
P0-F1,WBGene00017800,WBGene00017800,WBGene00017800,History: N.A.
P0-F1,WBGene00302986,WBGene00302986,WBGene00302986,History: N.A.
P0-F1,WBGene00012812,WBGene00012812,WBGene00012812,History: N.A.
P0-F1,WBGene00017532,WBGene00017532,WBGene00017532,History: N.A.
P0-F1,WBGene00004901,WBGene00004901,WBGene00004901,History: N.A.
P0-F1,WBGene00000499,WBGene00000499,WBGene00000499,History: N.A.
P0-F1,WBGene00002169,WBGene00002169,WBGene00002169,History: N.A.
P0-F1,WBGene00011507,WBGene00011507,WBGene00011507,History: N.A.
P0-F1,WBGene00012018,WBGene00012018,WBGene00012018,History: N.A.
P0-F1,WBGene00013727,WBGene00013727,WBGene00013727,History: N.A.
P0-F1,WBGene00004394,WBGene00004394,WBGene00004394,History: N.A.
P0-F1,WBGene00010281,WBGene00010281,WBGene00010281,History: Renamed on 2021-12-09
P0-F1,WBGene00018951,WBGene00018951,WBGene00018951,History: N.A.
P0-F1,WBGene00009344,WBGene00009344,WBGene00009344,History: N.A.
P0-F1,WBGene00015814,WBGene00015814,WBGene00015814,History: N.A.
P0-F1,WBGene00009416,WBGene00009416,WBGene00009416,"History: Split into F35E2.10(WBGene00044270). History of WBGene00009416: Split into ""WBGene00044270"" on 2005-03-18"
P0-F1,WBGene00010493,WBGene00010493,WBGene00010493,History: N.A.
P0-F1,WBGene00012683,WBGene00012683,WBGene00012683,History: N.A.
P0-F1,WBGene00012015,WBGene00012015,WBGene00012015,History: N.A.
P0-F1,WBGene00001942,WBGene00001942,WBGene00001942,History: N.A.
P0-F1,WBGene00001829,WBGene00001829,WBGene00001829,History: N.A.
P0-F1,WBGene00015677,WBGene00015677,WBGene00015677,History: N.A.
P0-F1,WBGene00009284,WBGene00009284,WBGene00009284,History: N.A.
P0-F1,WBGene00008354,WBGene00008354,WBGene00008354,History: N.A.
P0-F1,WBGene00011142,WBGene00011142,WBGene00011142,History: N.A.
P0-F1,WBGene00021367,WBGene00021367,WBGene00021367,"History: Split into Y37E11AM.4(WBGene00302986). History of WBGene00021367: Split into ""WBGene00302986"" on 2018-03-06"
P0-F1,WBGene00000112,WBGene00000112,WBGene00000112,History: Renamed on 2017-05-16
P0-F1,WBGene00002075,WBGene00002075,WBGene00002075,History: Renamed on 2015-03-05
P0-F1,WBGene00012496,WBGene00012496,WBGene00012496,History: N.A.
P0-F1,WBGene00045265,WBGene00045265,WBGene00045265,History: N.A.
P0-F1,WBGene00008598,WBGene00008598,WBGene00008598,History: N.A.
P0-F1,WBGene00003622,WBGene00003622,WBGene00003622,History: Renamed on 2015-03-05
P0-F1,WBGene00008003,WBGene00008003,WBGene00008003,History: N.A.
P0-F1,WBGene00009374,WBGene00009374,WBGene00009374,History: N.A.
P0-F1,WBGene00002056,WBGene00002056,WBGene00002056,History: Renamed on 2021-03-09
P0-F1,WBGene00009937,WBGene00009937,WBGene00009937,History: N.A.
P0-F1,WBGene00020050,WBGene00020050,WBGene00020050,History: N.A.
P0-F1,WBGene00011182,WBGene00011182,WBGene00011182,History: N.A.
P0-F1,WBGene00007327,WBGene00007327,WBGene00007327,History: N.A.
P0-F1,WBGene00022034,WBGene00022034,WBGene00022034,History: N.A.
P0-F1,WBGene00020293,WBGene00020293,WBGene00020293,History: N.A.
P0-F1,WBGene00015469,WBGene00015469,WBGene00015469,History: N.A.
P0-F1,WBGene00011679,WBGene00011679,WBGene00011679,History: N.A.
P0-F1,WBGene00002183,WBGene00002183,WBGene00002183,History: N.A.
P0-F1,WBGene00012917,WBGene00012917,WBGene00012917,History: N.A.
P0-F1,WBGene00007703,WBGene00007703,WBGene00007703,History: Renamed on 2005-03-17
P0-F1,WBGene00000875,WBGene00000875,WBGene00000875,History: N.A.
P0-F1,WBGene00018488,WBGene00018488,WBGene00018488,History: N.A.
P0-F1,WBGene00020340,WBGene00020340,WBGene00020340,History: N.A.
P0-F1,WBGene00009301,WBGene00009301,WBGene00009301,History: N.A.
