# Supplementary File 3,Sheet 8: Small RNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for seven generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen7),Input,Suggested Match,History
WBGene00012717,-4.883846538,-5.22591058711961,WBGene00012717,WBGene00012717,History: N.A.
WBGene00007988,-4.877174796,-4.64225408874019,WBGene00007988,WBGene00007988,History: N.A.
WBGene00012239,-4.853508309,-4.3753044448473,WBGene00012239,WBGene00012239,History: N.A.
WBGene00044504,-4.814256647,-4.42344054368936,WBGene00044504,WBGene00044504,History: N.A.
WBGene00009288,-4.79932095,-5.0290761856755,WBGene00009288,WBGene00009288,History: N.A.
WBGene00013511,-4.789935918,-2.66141483294185,WBGene00013511,WBGene00013511,"History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
WBGene00013777,-4.759249743,-3.70852532853498,WBGene00013777,WBGene00013777,History: N.A.
WBGene00007395,-4.739768599,-4.73284010327923,WBGene00007395,WBGene00007395,History: N.A.
WBGene00017354,-4.734682238,-5.15905644444993,WBGene00017354,WBGene00017354,History: N.A.
WBGene00008937,-4.720726498,-4.19664126430673,WBGene00008937,WBGene00008937,History: N.A.
WBGene00044482,-4.70275377,-5.26596127047037,WBGene00044482,WBGene00044482,History: N.A.
WBGene00003387,-4.702038154,-5.18327077768768,WBGene00003387,WBGene00003387,History: N.A.
WBGene00012911,-4.700073114,-4.45286845330054,WBGene00012911,WBGene00012911,History: N.A.
WBGene00002017,-4.699847309,-5.22392422808539,WBGene00002017,WBGene00002017,History: N.A.
WBGene00006784,-4.677986155,-4.92836199714059,WBGene00006784,WBGene00006784,History: N.A.
WBGene00015407,-4.676908664,-4.51013332718131,WBGene00015407,WBGene00015407,History: N.A.
WBGene00007722,-4.671770893,-5.04980735414302,WBGene00007722,WBGene00007722,History: N.A.
WBGene00016585,-4.670652517,-4.12702013765567,WBGene00016585,WBGene00016585,History: N.A.
WBGene00021678,-4.656214251,-4.20887262441219,WBGene00021678,WBGene00021678,History: N.A.
WBGene00006767,-4.654088045,-4.16296081698435,WBGene00006767,WBGene00006767,History: N.A.
WBGene00013009,-4.646281927,-3.18991765667762,WBGene00013009,WBGene00013009,History: N.A.
WBGene00014233,-4.639179543,-4.73314110424152,WBGene00014233,WBGene00014233,History: N.A.
WBGene00014807,-4.629942929,-3.1770334913734,WBGene00014807,WBGene00014807,History: N.A.
WBGene00014148,-4.623410591,-3.36861165748578,WBGene00014148,WBGene00014148,History: N.A.
