# Supplementary File 5,Sheet 10: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for 10 generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen10),Input,Suggested Match,History
WBGene00006980,-2.7429032601546,-1.07473706826006,WBGene00006980,WBGene00006980,History: N.A.
WBGene00001564,-2.74134180650356,-1.15327822623054,WBGene00001564,WBGene00001564,History: Renamed on 2010-11-16
WBGene00006948,-2.73029442404979,-3.15495987121116,WBGene00006948,WBGene00006948,History: N.A.
WBGene00010223,-2.72630201536064,-1.00501534213289,WBGene00010223,WBGene00010223,History: N.A.
WBGene00016805,-2.72280194640391,-1.63388217503486,WBGene00016805,WBGene00016805,History: N.A.
WBGene00019314,-2.72093671399277,-1.90481849896867,WBGene00019314,WBGene00019314,History: N.A.
WBGene00010835,-2.68598409561838,-1.98815453633281,WBGene00010835,WBGene00010835,History: N.A.
WBGene00011437,-2.6435755707628,-1.19776170338909,WBGene00011437,WBGene00011437,History: Renamed on 2018-12-11
WBGene00019840,-2.63383527934412,-1.94695495035605,WBGene00019840,WBGene00019840,History: N.A.
WBGene00045208,-2.61581548550059,-2.39324532661178,WBGene00045208,WBGene00045208,History: N.A.
WBGene00018242,-2.6125204775216,-2.65514410023889,WBGene00018242,WBGene00018242,History: N.A.
WBGene00019368,-2.58537775878584,-1.22302102939708,WBGene00019368,WBGene00019368,History: N.A.
WBGene00006665,-2.58322109396999,-2.80381872899601,WBGene00006665,WBGene00006665,History: N.A.
WBGene00017991,-2.58115237594737,-3.57575245444402,WBGene00017991,WBGene00017991,History: N.A.
WBGene00019839,-2.57204210996653,-1.5721465810725,WBGene00019839,WBGene00019839,History: N.A.
WBGene00021389,-2.54565524579254,-1.83423887648846,WBGene00021389,WBGene00021389,History: N.A.
WBGene00016193,-2.49755571687595,-1.37593532380332,WBGene00016193,WBGene00016193,History: N.A.
WBGene00011927,-2.49673124031177,-1.12920239735586,WBGene00011927,WBGene00011927,History: N.A.
WBGene00017340,-2.49585802976186,-1.21149727132786,WBGene00017340,WBGene00017340,History: N.A.
WBGene00012783,-2.47634731766749,-1.12714707405245,WBGene00012783,WBGene00012783,History: N.A.
WBGene00045067,-2.4751414178328,-1.74908377445253,WBGene00045067,WBGene00045067,History: N.A.
WBGene00007288,-2.46231224356298,-1.17104933032053,WBGene00007288,WBGene00007288,History: N.A.
WBGene00017153,-2.46185458442483,-1.59892544267332,WBGene00017153,WBGene00017153,History: N.A.
WBGene00017306,-2.45101660082899,-1.57016848630644,WBGene00017306,WBGene00017306,"History: Split into F09F9.5(WBGene00045395). History of WBGene00017306: Split into ""WBGene00045395"" on 2007-04-24"
WBGene00019623,-2.4505532910666,-2.66426636565425,WBGene00019623,WBGene00019623,History: N.A.
WBGene00008851,-2.44802569978034,-1.44425041652921,WBGene00008851,WBGene00008851,History: N.A.
WBGene00008655,-2.4463407296992,-1.58861961895814,WBGene00008655,WBGene00008655,History: N.A.
WBGene00008360,-2.4459075903468,-1.38689673329947,WBGene00008360,WBGene00008360,History: N.A.
WBGene00077490,-2.44562330894935,-2.15837533246582,WBGene00077490,WBGene00077490,History: N.A.
WBGene00008621,-2.44209988197286,-1.27411914300333,WBGene00008621,WBGene00008621,History: N.A.
WBGene00077444,-2.41770047196299,-2.48797533217122,WBGene00077444,WBGene00077444,History: N.A.
WBGene00016403,-2.40900929000389,-2.45102565349203,WBGene00016403,WBGene00016403,History: N.A.
WBGene00189956,-2.39108619618012,-1.02653982743874,WBGene00189956,WBGene00189956,History: N.A.
WBGene00015339,-2.38299036442818,-2.29470856764328,WBGene00015339,WBGene00015339,History: N.A.
WBGene00008522,-2.37370168607463,-1.3617098528905,WBGene00008522,WBGene00008522,History: N.A.
WBGene00016795,-2.36838695458146,-1.83064960853485,WBGene00016795,WBGene00016795,History: N.A.
WBGene00015781,-2.36620830397876,-2.17378281883875,WBGene00015781,WBGene00015781,History: N.A.
WBGene00009700,-2.36049934136329,-1.19225573624288,WBGene00009700,WBGene00009700,History: N.A.
WBGene00044350,-2.35137516292863,-1.04977706587269,WBGene00044350,WBGene00044350,History: N.A.
WBGene00002016,-2.33510686714693,-1.15863415142035,WBGene00002016,WBGene00002016,History: N.A.
