# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -2,Unnamed: 1,Input,Suggested Match,History
WBGene00018512,,WBGene00018512,WBGene00018512,History: N.A.
WBGene00006988,,WBGene00006988,WBGene00006988,History: N.A.
WBGene00007030,,WBGene00007030,WBGene00007030,History: N.A.
WBGene00002889,,WBGene00002889,WBGene00002889,History: Renamed on 2010-04-09
WBGene00019087,,WBGene00019087,WBGene00019087,History: N.A.
WBGene00004239,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00009035,,WBGene00009035,WBGene00009035,History: N.A.
WBGene00010351,,WBGene00010351,WBGene00010351,History: N.A.
WBGene00000226,,WBGene00000226,WBGene00000226,History: N.A.
WBGene00011729,,WBGene00011729,WBGene00011729,History: Renamed on 2007-05-03
WBGene00004374,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00007028,,WBGene00007028,WBGene00007028,History: N.A.
WBGene00022257,,WBGene00022257,WBGene00022257,History: N.A.
WBGene00013591,,WBGene00013591,WBGene00013591,History: N.A.
WBGene00020035,,WBGene00020035,WBGene00020035,History: N.A.
WBGene00020652,,WBGene00020652,WBGene00020652,History: N.A.
WBGene00002368,,WBGene00002368,WBGene00002368,History: N.A.
WBGene00044789,,WBGene00044789,WBGene00044789,History: N.A.
WBGene00012360,,WBGene00012360,WBGene00012360,History: N.A.
WBGene00010621,,WBGene00010621,WBGene00010621,History: N.A.
WBGene00013156,,WBGene00013156,WBGene00013156,History: N.A.
WBGene00002229,,WBGene00002229,WBGene00002229,History: N.A.
WBGene00002225,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002228,,WBGene00002228,WBGene00002228,History: N.A.
WBGene00002226,,WBGene00002226,WBGene00002226,History: N.A.
WBGene00015580,,WBGene00015580,WBGene00015580,History: N.A.
WBGene00018350,,WBGene00018350,WBGene00018350,History: Renamed on 2013-10-04
WBGene00017592,,WBGene00017592,WBGene00017592,History: N.A.
WBGene00019959,,WBGene00019959,WBGene00019959,History: N.A.
WBGene00013694,,WBGene00013694,WBGene00013694,History: N.A.
WBGene00013639,,WBGene00013639,WBGene00013639,"History: Split into ""WBGene00219211"" on 2011-08-15"
