# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00000660,WBGene00000660,WBGene00000660,History: N.A.
WBGene00000661,WBGene00000661,WBGene00000661,History: N.A.
WBGene00000662,WBGene00000662,WBGene00000662,History: N.A.
WBGene00000663,WBGene00000663,WBGene00000663,History: N.A.
WBGene00000664,WBGene00000664,WBGene00000664,History: N.A.
WBGene00000665,WBGene00000665,WBGene00000665,History: N.A.
WBGene00000666,WBGene00000666,WBGene00000666,History: N.A.
WBGene00000667,WBGene00000667,WBGene00000667,History: N.A.
WBGene00000668,WBGene00000668,WBGene00000668,History: N.A.
WBGene00000669,WBGene00000669,WBGene00000669,History: N.A.
WBGene00000670,WBGene00000670,WBGene00000670,History: N.A.
WBGene00000671,WBGene00000671,WBGene00000671,History: N.A.
WBGene00000672,WBGene00000672,WBGene00000672,History: N.A.
WBGene00000673,WBGene00000673,WBGene00000673,History: N.A.
WBGene00000674,WBGene00000674,WBGene00000674,History: N.A.
WBGene00000675,WBGene00000675,WBGene00000675,History: N.A.
WBGene00000676,WBGene00000676,WBGene00000676,History: N.A.
WBGene00000677,WBGene00000677,WBGene00000677,History: N.A.
WBGene00000678,WBGene00000678,WBGene00000678,History: N.A.
WBGene00000679,WBGene00000679,WBGene00000679,History: N.A.
WBGene00000680,WBGene00000680,WBGene00000680,History: N.A.
WBGene00000681,WBGene00000681,WBGene00000681,History: N.A.
WBGene00000682,WBGene00000682,WBGene00000682,History: N.A.
WBGene00000683,WBGene00000683,WBGene00000683,History: N.A.
WBGene00000684,WBGene00000684,WBGene00000684,History: N.A.
WBGene00000685,WBGene00000685,WBGene00000685,History: N.A.
WBGene00000688,WBGene00000688,WBGene00000688,History: N.A.
WBGene00000690,WBGene00000690,WBGene00000690,History: N.A.
WBGene00000691,WBGene00000691,WBGene00000691,History: N.A.
WBGene00000692,WBGene00000692,WBGene00000692,History: N.A.
WBGene00000693,WBGene00000693,WBGene00000693,History: N.A.
WBGene00000694,WBGene00000694,WBGene00000694,History: N.A.
