# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001589,,,,WBGene00001589,WBGene00001589,History: N.A.
WBGene00001629,,,,WBGene00001629,WBGene00001629,History: N.A.
WBGene00001638,,,,WBGene00001638,WBGene00001638,History: N.A.
WBGene00001651,,,,WBGene00001651,WBGene00001651,History: N.A.
WBGene00001660,,,,WBGene00001660,WBGene00001660,History: N.A.
WBGene00001682,,,,WBGene00001682,WBGene00001682,History: N.A.
WBGene00001684,,,,WBGene00001684,WBGene00001684,History: N.A.
WBGene00001685,,,,WBGene00001685,WBGene00001685,History: N.A.
WBGene00001708,,,,WBGene00001708,WBGene00001708,History: N.A.
WBGene00001747,,,,WBGene00001747,WBGene00001747,History: N.A.
WBGene00001748,,,,WBGene00001748,WBGene00001748,History: N.A.
WBGene00001787,,,,WBGene00001787,WBGene00001787,History: N.A.
WBGene00001791,,,,WBGene00001791,WBGene00001791,History: N.A.
WBGene00001817,,,,WBGene00001817,WBGene00001817,History: N.A.
WBGene00001831,,,,WBGene00001831,WBGene00001831,History: N.A.
WBGene00001834,,,,WBGene00001834,WBGene00001834,History: N.A.
WBGene00001835,,,,WBGene00001835,WBGene00001835,History: N.A.
WBGene00001836,,,,WBGene00001836,WBGene00001836,History: N.A.
WBGene00001837,,,,WBGene00001837,WBGene00001837,History: N.A.
WBGene00001860,,,,WBGene00001860,WBGene00001860,History: N.A.
