# Supplementary File 5,Sheet 6: mRNAs significantly down-regulated 2 fold or greater in simr-1 mutant animals at 25ºC for two generations.
Gene name,log2FoldChange (relative to wt gen1),log2FoldChange (relative to wt gen2),Input,Suggested Match,History
WBGene00011175,-1.9334294495583,-2.67030000677214,WBGene00011175,WBGene00011175,History: N.A.
WBGene00015225,-1.93265981246954,-2.31561035373463,WBGene00015225,WBGene00015225,History: N.A.
WBGene00015993,-1.92057419443238,-1.01625599535625,WBGene00015993,WBGene00015993,History: N.A.
WBGene00011608,-1.91718804108181,-1.68348909628941,WBGene00011608,WBGene00011608,History: N.A.
WBGene00009488,-1.9040313365316,-2.46668387931315,WBGene00009488,WBGene00009488,History: N.A.
WBGene00006539,-1.90058778964132,-1.78915242661329,WBGene00006539,WBGene00006539,History: N.A.
WBGene00008944,-1.88863018581824,-1.53991946775824,WBGene00008944,WBGene00008944,History: N.A.
WBGene00206388,-1.88817704985838,-1.14641437050311,WBGene00206388,WBGene00206388,History: N.A.
WBGene00016953,-1.8865341543549,-1.01312411148959,WBGene00016953,WBGene00016953,History: N.A.
WBGene00005181,-1.87274472211515,-1.46291574151815,WBGene00005181,WBGene00005181,History: N.A.
WBGene00043980,-1.87145944269127,-1.31390010469641,WBGene00043980,WBGene00043980,History: N.A.
WBGene00010998,-1.86757169674887,-1.85271997135378,WBGene00010998,WBGene00010998,History: N.A.
WBGene00008002,-1.86481318379486,-1.65140480905719,WBGene00008002,WBGene00008002,History: N.A.
WBGene00020509,-1.84562763751253,-1.72024451436857,WBGene00020509,WBGene00020509,History: N.A.
WBGene00004052,-1.84158368539101,-1.54983287666373,WBGene00004052,WBGene00004052,History: Renamed on 2014-11-18
WBGene00015537,-1.83491373719951,-1.4794864976067,WBGene00015537,WBGene00015537,History: N.A.
WBGene00015216,-1.82150534530415,-2.48638696899235,WBGene00015216,WBGene00015216,History: N.A.
WBGene00044953,-1.81048957320486,-1.58492086764326,WBGene00044953,WBGene00044953,History: N.A.
WBGene00016425,-1.80083026321026,-2.33583051996841,WBGene00016425,WBGene00016425,History: N.A.
WBGene00044457,-1.79207634265713,-2.21767116897051,WBGene00044457,WBGene00044457,History: N.A.
WBGene00015227,-1.78896488770946,-1.72888222250449,WBGene00015227,WBGene00015227,History: N.A.
WBGene00006775,-1.77319972602042,-2.98489333505293,WBGene00006775,WBGene00006775,History: N.A.
WBGene00010833,-1.77100638384067,-1.39184813555113,WBGene00010833,WBGene00010833,History: N.A.
WBGene00012028,-1.77056061808456,-1.09893288333737,WBGene00012028,WBGene00012028,History: N.A.
WBGene00005180,-1.76846827309034,-1.07899863315229,WBGene00005180,WBGene00005180,History: N.A.
WBGene00022096,-1.76387754473369,-1.69459421847696,WBGene00022096,WBGene00022096,History: N.A.
WBGene00017754,-1.75873894255853,-1.91108580723959,WBGene00017754,WBGene00017754,History: N.A.
WBGene00010752,-1.75397521968057,-1.01696299513303,WBGene00010752,WBGene00010752,History: N.A.
WBGene00008858,-1.73711518356405,-1.59183050097537,WBGene00008858,WBGene00008858,History: N.A.
WBGene00014955,-1.73196289741399,-1.12937834232206,WBGene00014955,WBGene00014955,History: N.A.
WBGene00020364,-1.73052486933133,-1.08460241795181,WBGene00020364,WBGene00020364,History: N.A.
WBGene00194985,-1.72672543750491,-1.38589456989958,WBGene00194985,WBGene00194985,History: N.A.
WBGene00018823,-1.71501841449724,-1.67404566967373,WBGene00018823,WBGene00018823,History: N.A.
WBGene00013531,-1.70256185396425,-1.18876999447318,WBGene00013531,WBGene00013531,History: N.A.
WBGene00044787,-1.70037538010881,-1.57460496646904,WBGene00044787,WBGene00044787,History: N.A.
WBGene00021862,-1.69808266555161,-1.14418416565066,WBGene00021862,WBGene00021862,History: N.A.
WBGene00018568,-1.69357145438294,-1.84941578056266,WBGene00018568,WBGene00018568,History: N.A.
WBGene00017420,-1.69110693776748,-1.30196588594676,WBGene00017420,WBGene00017420,History: N.A.
WBGene00044723,-1.68182217155691,-1.37878000602983,WBGene00044723,WBGene00044723,History: N.A.
WBGene00001828,-1.68147014784481,-2.70666677294038,WBGene00001828,WBGene00001828,History: N.A.
WBGene00005271,-1.66907465083007,-1.03828263183089,WBGene00005271,WBGene00005271,History: N.A.
WBGene00001577,-1.64138508576164,-1.70684726056861,WBGene00001577,WBGene00001577,History: N.A.
WBGene00010285,-1.64012898665391,-1.27119969525178,WBGene00010285,WBGene00010285,History: N.A.
WBGene00007370,-1.6380674637941,-1.85490136385414,WBGene00007370,WBGene00007370,History: N.A.
WBGene00013334,-1.62350336418286,-1.75591925552059,WBGene00013334,WBGene00013334,History: N.A.
WBGene00015013,-1.62210595316918,-1.10918017539756,WBGene00015013,WBGene00015013,History: N.A.
WBGene00018352,-1.62101146984857,-1.05076696742756,WBGene00018352,WBGene00018352,History: N.A.
WBGene00011539,-1.62002155722205,-1.6367881558571,WBGene00011539,WBGene00011539,"History: Split into ""WBGene00044656"" on 2005-12-21"
WBGene00044773,-1.61815145162461,-1.51722461664939,WBGene00044773,WBGene00044773,History: N.A.
WBGene00013855,-1.61626841862875,-1.28756813133819,WBGene00013855,WBGene00013855,History: N.A.
WBGene00044534,-1.61507492071892,-2.01652292172303,WBGene00044534,WBGene00044534,History: N.A.
WBGene00045414,-1.61326816242196,-1.45963663098008,WBGene00045414,WBGene00045414,History: N.A.
WBGene00012070,-1.60900316934991,-1.67096504833525,WBGene00012070,WBGene00012070,History: N.A.
WBGene00010375,-1.60644126132251,-1.22337515855324,WBGene00010375,WBGene00010375,History: N.A.
WBGene00006627,-1.60266521341514,-2.2144429544996,WBGene00006627,WBGene00006627,History: N.A.
WBGene00021986,-1.59988718044846,-1.57117126724482,WBGene00021986,WBGene00021986,History: N.A.
WBGene00016924,-1.59048911059874,-1.39714839551829,WBGene00016924,WBGene00016924,"History: Split into C54F6.20(WBGene00271796). History of WBGene00016924: Split into ""WBGene00271796"" on 2017-09-21"
WBGene00002188,-1.58852428529378,-1.20046921232082,WBGene00002188,WBGene00002188,History: N.A.
WBGene00017258,-1.58755395960149,-1.53881710420207,WBGene00017258,WBGene00017258,History: N.A.
WBGene00016788,-1.58431559529759,-1.3985850753835,WBGene00016788,WBGene00016788,History: N.A.
WBGene00045245,-1.57636825749656,-1.29592942052466,WBGene00045245,WBGene00045245,History: N.A.
WBGene00002021,-1.57575909218624,-1.66719199985645,WBGene00002021,WBGene00002021,History: N.A.
WBGene00015600,-1.57524163289129,-1.79668444968226,WBGene00015600,WBGene00015600,History: N.A.
WBGene00013931,-1.57370235906981,-1.20054901175151,WBGene00013931,WBGene00013931,History: N.A.
WBGene00020774,-1.56622094736312,-1.13203380382399,WBGene00020774,WBGene00020774,History: N.A.
WBGene00015599,-1.56095631885311,-2.11452265373677,WBGene00015599,WBGene00015599,History: N.A.
WBGene00022083,-1.55871419477749,-1.75522959662894,WBGene00022083,WBGene00022083,History: N.A.
WBGene00013574,-1.55562161714611,-1.03446628461666,WBGene00013574,WBGene00013574,History: N.A.
