gene,Input,Suggested Match,History
WBGene00005461,WBGene00005461,WBGene00005461,History: N.A.
WBGene00013466,WBGene00013466,WBGene00013466,History: N.A.
WBGene00009909,WBGene00009909,WBGene00009909,History: N.A.
WBGene00005418,WBGene00005418,WBGene00005418,History: N.A.
WBGene00009568,WBGene00009568,WBGene00009568,History: N.A.
WBGene00015242,WBGene00015242,WBGene00015242,History: N.A.
WBGene00008575,WBGene00008575,WBGene00008575,History: N.A.
WBGene00012836,WBGene00012836,WBGene00012836,History: N.A.
WBGene00016887,WBGene00016887,,History: Killed on 2012-07-23; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00013937,WBGene00013937,WBGene00013937,History: N.A.
WBGene00009196,WBGene00009196,WBGene00009196,History: N.A.
WBGene00022318,WBGene00022318,WBGene00022318,History: N.A.
WBGene00050965,WBGene00050965,WBGene00050965,History: N.A.
WBGene00022207,WBGene00022207,WBGene00022207,History: N.A.
WBGene00020326,WBGene00020326,WBGene00020326,History: N.A.
WBGene00009569,WBGene00009569,WBGene00009569,History: N.A.
WBGene00044202,WBGene00044202,WBGene00044202,History: N.A.
WBGene00005798,WBGene00005798,WBGene00005798,History: N.A.
WBGene00009839,WBGene00009839,WBGene00009839,History: N.A.
WBGene00013628,WBGene00013628,WBGene00013628,"History: Split into Y102A5C.40(WBGene00077624). History of WBGene00013628: Split into ""WBGene00077624"" on 2008-02-22"
WBGene00013626,WBGene00013626,WBGene00013626,History: N.A.
WBGene00005417,WBGene00005417,WBGene00005417,History: N.A.
WBGene00010934,WBGene00010934,WBGene00010934,History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
WBGene00005321,WBGene00005321,WBGene00005321,History: N.A.
WBGene00045344,WBGene00045344,WBGene00045344,History: N.A.
WBGene00005393,WBGene00005393,WBGene00005393,History: N.A.
WBGene00013619,WBGene00013619,WBGene00013619,History: N.A.
WBGene00012575,WBGene00012575,WBGene00012575,History: N.A.
WBGene00009835,WBGene00009835,WBGene00009835,History: N.A.
WBGene00019585,WBGene00019585,,History: Killed on 2009-04-15; Suppressed on 2012-11-15. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00008696,WBGene00008696,WBGene00008696,"History: Split into F11D11.19(WBGene00077659). History of WBGene00008696: Split into ""WBGene00077659"" on 2008-02-22"
WBGene00005348,WBGene00005348,WBGene00005348,History: N.A.
WBGene00005777,WBGene00005777,WBGene00005777,History: N.A.
WBGene00012837,WBGene00012837,WBGene00012837,History: N.A.
WBGene00044208,WBGene00044208,WBGene00044208,History: N.A.
WBGene00005779,WBGene00005779,WBGene00005779,History: N.A.
WBGene00077655,WBGene00077655,WBGene00077655,History: N.A.
WBGene00011852,WBGene00011852,WBGene00011852,History: N.A.
WBGene00012452,WBGene00012452,WBGene00012452,History: N.A.
WBGene00019592,WBGene00019592,WBGene00019592,History: N.A.
WBGene00005829,WBGene00005829,WBGene00005829,History: N.A.
WBGene00005331,WBGene00005331,WBGene00005331,History: N.A.
WBGene00008069,WBGene00008069,WBGene00008069,History: N.A.
WBGene00007728,WBGene00007728,WBGene00007728,History: N.A.
WBGene00008700,WBGene00008700,WBGene00008700,History: N.A.
WBGene00020360,WBGene00020360,WBGene00020360,History: N.A.
