,Gene,Count
2229,WBGene00006699,69
4761,WBGene00019511,69
5456,WBGene00022531,69
4664,WBGene00018990,69
5045,WBGene00020988,68
4342,WBGene00017264,68
354,WBGene00019997,68
642,WBGene00019608,68
4733,WBGene00019327,68
532,WBGene00004798,68
2370,WBGene00007125,68
94,WBGene00006044,68
341,WBGene00002226,68
1324,WBGene00000912,68
2073,WBGene00004795,68
963,WBGene00004239,68
4584,WBGene00018648,68
3067,WBGene00010726,68
3041,WBGene00010621,68
5392,WBGene00022302,68
5364,WBGene00022211,68
3573,WBGene00013038,68
2743,WBGene00009035,68
10680,WBGene00010712,68
2815,WBGene00009361,68
6278,WBGene00012486,67
3697,WBGene00013531,67
1343,WBGene00001008,67
3877,WBGene00015014,67
3623,WBGene00013226,67
415,WBGene00004465,67
3854,WBGene00014208,67
1228,WBGene00000479,67
4854,WBGene00019971,67
4763,WBGene00019517,67
3440,WBGene00012484,67
1590,WBGene00002025,67
4315,WBGene00017106,67
2494,WBGene00007709,67
1023,WBGene00018862,67
2070,WBGene00004782,67
1513,WBGene00001683,67
2982,WBGene00010351,67
5296,WBGene00021939,67
4182,WBGene00016435,67
4157,WBGene00016346,67
4385,WBGene00017482,67
530,WBGene00002202,67
1924,WBGene00004179,67
2693,WBGene00008740,67
520,WBGene00017354,67
672,WBGene00004042,67
2414,WBGene00007372,67
2372,WBGene00007133,67
1894,WBGene00004075,67
4677,WBGene00019044,66
2505,WBGene00007771,66
3674,WBGene00013429,66
1481,WBGene00001583,66
1627,WBGene00002181,66
1076,WBGene00012360,66
1264,WBGene00000615,66
5527,WBGene00023172,66
3800,WBGene00013999,66
1079,WBGene00011489,66
3875,WBGene00015012,66
4136,WBGene00016250,66
2108,WBGene00004955,66
2984,WBGene00010362,66
5010,WBGene00020778,66
5031,WBGene00020902,66
4119,WBGene00016178,66
4422,WBGene00017729,66
4631,WBGene00018851,66
533,WBGene00002045,66
1948,WBGene00004245,66
1585,WBGene00002010,66
55,WBGene00021863,66
4201,WBGene00016551,66
1542,WBGene00001854,66
4388,WBGene00017515,66
868,WBGene00003989,65
4376,WBGene00017423,65
1529,WBGene00001814,65
5558,WBGene00044200,65
90,WBGene00016993,65
1358,WBGene00001037,65
4082,WBGene00016072,65
2306,WBGene00006964,65
1673,WBGene00002994,65
1227,WBGene00000474,65
1967,WBGene00004302,65
955,WBGene00008920,65
1175,WBGene00000257,65
3199,WBGene00011320,65
806,WBGene00008480,65
197,WBGene00017225,65
593,WBGene00002344,65
5452,WBGene00022508,65
1220,WBGene00000463,65
3368,WBGene00012124,65
6236,WBGene00022358,65
3387,WBGene00012219,65
473,WBGene00012831,65
3058,WBGene00010690,65
1117,WBGene00000081,65
1750,WBGene00003387,65
12,WBGene00010102,65
231,WBGene00012156,65
2530,WBGene00007920,65
29,WBGene00007213,65
4303,WBGene00017075,64
645,WBGene00008385,64
2936,WBGene00010061,64
1491,WBGene00001601,64
8160,WBGene00022589,64
2658,WBGene00008537,64
2652,WBGene00008506,64
2263,WBGene00006784,64
2707,WBGene00008848,64
2506,WBGene00007779,64
2536,WBGene00007966,64
2194,WBGene00006536,64
2185,WBGene00006508,64
4202,WBGene00016558,64
1895,WBGene00004076,64
3077,WBGene00010769,64
1940,WBGene00004208,64
3842,WBGene00014130,64
3524,WBGene00012896,64
1744,WBGene00003231,64
460,WBGene00006051,64
3900,WBGene00015111,64
3957,WBGene00015366,64
71,WBGene00017942,64
5591,WBGene00044586,64
5589,WBGene00044541,64
8606,WBGene00019636,64
1569,WBGene00001976,64
1565,WBGene00001955,64
1840,WBGene00003864,64
