,Gene,Count
16936,WBGene00018145,36
8043,WBGene00001885,36
2674,WBGene00008648,36
4291,WBGene00017025,36
12831,WBGene00007239,36
16877,WBGene00020770,36
3638,WBGene00013250,36
18508,WBGene00013345,36
2669,WBGene00008624,36
18515,WBGene00007927,36
17658,WBGene00077453,36
12879,WBGene00014240,36
19292,WBGene00022089,36
669,WBGene00014157,36
3706,WBGene00013561,36
2259,WBGene00006769,36
4898,WBGene00020190,36
7956,WBGene00009948,36
2875,WBGene00009672,36
2178,WBGene00006474,36
18105,WBGene00017461,36
19325,WBGene00015248,36
17689,WBGene00012187,36
3386,WBGene00012209,36
5468,WBGene00022587,36
10295,WBGene00001246,36
4691,WBGene00019127,36
17031,WBGene00015942,36
173,WBGene00009463,36
3600,WBGene00013167,36
12765,WBGene00015386,36
333,WBGene00015944,36
5465,WBGene00022569,36
3073,WBGene00010736,36
18113,WBGene00018638,36
3805,WBGene00014018,36
17732,WBGene00008281,36
17794,WBGene00000985,36
5658,WBGene00185077,36
827,WBGene00022708,36
17804,WBGene00013260,36
830,WBGene00018001,36
4810,WBGene00019778,36
2315,WBGene00006986,36
17563,WBGene00013728,36
404,WBGene00016843,36
5059,WBGene00021022,36
676,WBGene00018335,36
4225,WBGene00016632,36
2310,WBGene00006976,36
2787,WBGene00009223,36
5026,WBGene00020843,36
2784,WBGene00009204,36
5687,WBGene00043952,36
2795,WBGene00009262,36
17817,WBGene00011044,36
17900,WBGene00010922,36
17838,WBGene00021689,36
10878,WBGene00019020,36
1655,WBGene00002324,36
1645,WBGene00002241,36
10781,WBGene00007162,36
10979,WBGene00007838,36
1787,WBGene00003588,36
3645,WBGene00013288,36
1639,WBGene00002223,36
11195,WBGene00003429,36
4213,WBGene00016601,36
1624,WBGene00002153,36
5650,WBGene00086566,36
17845,WBGene00022702,36
581,WBGene00020940,36
2804,WBGene00009289,36
2978,WBGene00010311,36
3804,WBGene00014014,36
5507,WBGene00022788,36
3482,WBGene00012701,36
17753,WBGene00022832,36
3899,WBGene00015105,36
17403,WBGene00010906,36
2362,WBGene00007108,36
17391,WBGene00017986,36
1566,WBGene00001972,36
3488,WBGene00012719,36
4877,WBGene00020103,36
9703,WBGene00022155,36
17745,WBGene00017916,36
17854,WBGene00001971,36
3016,WBGene00010502,36
7759,WBGene00022017,36
17366,WBGene00006394,36
17736,WBGene00013465,36
51,WBGene00022339,36
18048,WBGene00003417,36
3916,WBGene00015173,36
18040,WBGene00018961,36
17787,WBGene00011898,36
2980,WBGene00010326,36
5032,WBGene00020910,36
17785,WBGene00006387,36
685,WBGene00003639,36
4788,WBGene00019698,36
4785,WBGene00019692,36
2239,WBGene00006722,36
686,WBGene00012272,36
11905,WBGene00011533,36
650,WBGene00011467,36
3562,WBGene00013006,36
3881,WBGene00015021,36
4158,WBGene00016352,36
17586,WBGene00007978,36
1206,WBGene00000409,36
4665,WBGene00018991,36
15822,WBGene00020071,36
5285,WBGene00021921,36
3750,WBGene00013697,36
16347,WBGene00077772,36
1936,WBGene00004201,36
2001,WBGene00004383,36
917,WBGene00016156,36
3678,WBGene00013436,36
15774,WBGene00022700,36
16360,WBGene00219707,36
1260,WBGene00000566,36
4338,WBGene00017237,36
15450,WBGene00008660,36
2031,WBGene00004483,36
1443,WBGene00001411,36
365,WBGene00008125,36
2050,WBGene00004732,36
18920,WBGene00021302,36
281,WBGene00015084,36
5209,WBGene00021655,36
8920,WBGene00019435,36
15435,WBGene00015630,36
1187,WBGene00000293,36
9384,WBGene00002915,36
3147,WBGene00011109,36
3345,WBGene00012000,36
18922,WBGene00044726,36
13798,WBGene00007948,36
4105,WBGene00016154,36
3664,WBGene00013361,36
14778,WBGene00012530,36
16295,WBGene00022621,36
14314,WBGene00020007,36
15754,WBGene00011133,36
5258,WBGene00021831,36
1138,WBGene00000151,36
2555,WBGene00008052,36
266,WBGene00020370,36
5400,WBGene00022348,36
1975,WBGene00004314,36
4913,WBGene00020296,36
6249,WBGene00016935,36
2576,WBGene00008143,36
8817,WBGene00050956,36
2047,WBGene00004721,36
1360,WBGene00001040,36
6235,WBGene00013812,36
136,WBGene00007306,36
1414,WBGene00001235,36
16060,WBGene00015049,36
5242,WBGene00021754,36
3942,WBGene00015301,36
1282,WBGene00000798,36
16028,WBGene00015573,36
4564,WBGene00018564,36
277,WBGene00016382,36
2094,WBGene00004895,36
2589,WBGene00008196,36
6305,WBGene00007899,36
1170,WBGene00000247,36
8551,WBGene00019337,36
3227,WBGene00011449,36
3744,WBGene00013680,36
2615,WBGene00008386,36
3934,WBGene00015266,36
125,WBGene00013053,36
2429,WBGene00007434,36
4639,WBGene00018891,36
1318,WBGene00000892,36
3519,WBGene00012887,36
636,WBGene00045484,36
2472,WBGene00007627,36
13276,WBGene00000768,36
16716,WBGene00021756,36
6138,WBGene00014562,36
15797,WBGene00014085,36
3272,WBGene00011663,36
4646,WBGene00018902,36
4372,WBGene00017397,36
1314,WBGene00000885,36
15392,WBGene00003457,36
6270,WBGene00010371,36
3874,WBGene00015011,36
5437,WBGene00022453,36
19270,WBGene00003466,36
14992,WBGene00008825,36
16778,WBGene00018045,36
14986,WBGene00015894,36
1898,WBGene00004088,36
609,WBGene00012784,36
1154,WBGene00000199,36
9071,WBGene00009753,36
6137,WBGene00006815,36
4661,WBGene00018964,36
14460,WBGene00019015,36
14951,WBGene00044227,36
16676,WBGene00017811,36
6092,WBGene00014309,36
19048,WBGene00011802,36
5324,WBGene00022063,36
3353,WBGene00012031,36
6077,WBGene00021928,36
2623,WBGene00008409,36
4614,WBGene00018802,36
342,WBGene00000466,36
4016,WBGene00015701,36
18899,WBGene00020090,36
3126,WBGene00011032,36
1470,WBGene00001527,36
3288,WBGene00011747,36
6179,WBGene00000063,36
6173,WBGene00009444,36
307,WBGene00044205,36
3688,WBGene00013464,36
3953,WBGene00015349,36
15192,WBGene00017843,36
3662,WBGene00013359,36
5280,WBGene00021902,36
16632,WBGene00013553,36
6166,WBGene00022193,36
6163,WBGene00000794,36
2471,WBGene00007626,36
4369,WBGene00017356,36
873,WBGene00010046,36
3119,WBGene00010988,36
5378,WBGene00022272,36
2320,WBGene00007001,35
2485,WBGene00007681,35
2103,WBGene00004947,35
19642,WBGene00044131,35
5628,WBGene00045433,35
5362,WBGene00022207,35
213,WBGene00007888,35
792,WBGene00013879,35
5345,WBGene00022141,35
5353,WBGene00022165,35
2290,WBGene00006932,35
6124,WBGene00002058,35
3955,WBGene00015351,35
6150,WBGene00012130,35
2254,WBGene00006751,35
703,WBGene00012159,35
17710,WBGene00013253,35
4936,WBGene00020399,35
17726,WBGene00021749,35
17741,WBGene00013383,35
17864,WBGene00194912,35
17747,WBGene00012652,35
5320,WBGene00022054,35
1769,WBGene00003476,35
6206,WBGene00004470,35
5314,WBGene00022043,35
364,WBGene00016445,35
6219,WBGene00004415,35
2544,WBGene00007980,35
17805,WBGene00008344,35
2489,WBGene00007698,35
18915,WBGene00015064,35
657,WBGene00022369,35
19034,WBGene00020167,35
2838,WBGene00009498,35
2573,WBGene00008133,35
7171,WBGene00019272,35
19076,WBGene00007943,35
2709,WBGene00008857,35
2387,WBGene00007188,35
2713,WBGene00008865,35
18847,WBGene00008444,35
5186,WBGene00021545,35
3978,WBGene00015488,35
2436,WBGene00007488,35
18233,WBGene00016390,35
5424,WBGene00022400,35
19255,WBGene00018123,35
5422,WBGene00022393,35
1926,WBGene00004181,35
2621,WBGene00008405,35
2620,WBGene00008404,35
6436,WBGene00045077,35
2442,WBGene00007504,35
2612,WBGene00008363,35
18141,WBGene00011614,35
5486,WBGene00022717,35
2175,WBGene00006463,35
18285,WBGene00017636,35
5180,WBGene00021535,35
2641,WBGene00008441,35
5348,WBGene00022150,35
2397,WBGene00007227,35
2664,WBGene00008580,35
2162,WBGene00006415,35
18651,WBGene00004420,35
5443,WBGene00022466,35
2643,WBGene00008452,35
18742,WBGene00018743,35
3606,WBGene00013193,35
1917,WBGene00004161,35
1876,WBGene00004032,35
747,WBGene00044684,35
5169,WBGene00021476,35
2692,WBGene00008733,35
18384,WBGene00011814,35
743,WBGene00013590,35
2151,WBGene00006385,35
5177,WBGene00021522,35
5210,WBGene00021656,35
5414,WBGene00022376,35
2611,WBGene00008362,35
3968,WBGene00015462,35
2581,WBGene00008165,35
19173,WBGene00014016,35
1971,WBGene00004306,35
5035,WBGene00020932,35
3703,WBGene00013550,35
2460,WBGene00007602,35
1979,WBGene00004320,35
5028,WBGene00020858,35
6301,WBGene00018768,35
18023,WBGene00007922,35
19137,WBGene00000230,35
5023,WBGene00020831,35
2009,WBGene00004405,35
3643,WBGene00013267,35
5679,WBGene00219589,35
17941,WBGene00006391,35
6284,WBGene00008973,35
17910,WBGene00010476,35
2356,WBGene00007093,35
2773,WBGene00009164,35
5213,WBGene00021660,35
19217,WBGene00014907,35
2607,WBGene00008345,35
1842,WBGene00003868,35
153,WBGene00007512,35
5053,WBGene00021009,35
1837,WBGene00003848,35
2763,WBGene00009124,35
18077,WBGene00004277,35
18870,WBGene00012365,35
3612,WBGene00013210,35
6352,WBGene00013615,35
2190,WBGene00006516,35
6373,WBGene00015429,35
1824,WBGene00003803,35
19198,WBGene00022170,35
409,WBGene00014201,35
5499,WBGene00022759,35
191,WBGene00006519,35
5403,WBGene00022351,35
1994,WBGene00004361,35
4167,WBGene00016391,35
9239,WBGene00019561,35
1588,WBGene00002019,35
1288,WBGene00000816,35
13438,WBGene00018322,35
3207,WBGene00011348,35
4758,WBGene00019503,35
16742,WBGene00044651,35
3105,WBGene00010890,35
9468,WBGene00021207,35
4490,WBGene00018046,35
13692,WBGene00020356,35
3351,WBGene00012029,35
3348,WBGene00012015,35
13782,WBGene00008772,35
16770,WBGene00022817,35
4340,WBGene00017245,35
339,WBGene00019481,35
1276,WBGene00000773,35
951,WBGene00004494,35
3103,WBGene00010882,35
950,WBGene00016491,35
17291,WBGene00014054,35
1134,WBGene00000143,35
16720,WBGene00021973,35
511,WBGene00011273,35
4815,WBGene00019801,35
17422,WBGene00021871,35
15844,WBGene00012638,35
17478,WBGene00015558,35
4290,WBGene00017016,35
4147,WBGene00016307,35
12833,WBGene00020042,35
1213,WBGene00000421,35
968,WBGene00010323,35
3378,WBGene00012192,35
17451,WBGene00012937,35
1302,WBGene00000846,35
4503,WBGene00018154,35
909,WBGene00018301,35
4793,WBGene00019713,35
9569,WBGene00019972,35
3812,WBGene00014036,35
2991,WBGene00010408,35
15763,WBGene00007179,35
3564,WBGene00013014,35
17434,WBGene00012138,35
3205,WBGene00011334,35
1084,WBGene00021908,35
14301,WBGene00001758,35
17275,WBGene00006540,35
7817,WBGene00022144,35
3102,WBGene00010879,35
17085,WBGene00005025,35
241,WBGene00012223,35
15473,WBGene00019459,35
382,WBGene00007688,35
1188,WBGene00000294,35
17010,WBGene00000289,35
16826,WBGene00003776,35
3070,WBGene00010732,35
15445,WBGene00020627,35
16988,WBGene00015168,35
15441,WBGene00007080,35
4126,WBGene00016209,35
15358,WBGene00011027,35
15264,WBGene00015026,35
4685,WBGene00019120,35
3280,WBGene00011730,35
4420,WBGene00017719,35
1234,WBGene00000500,35
4441,WBGene00017799,35
3273,WBGene00011664,35
19523,WBGene00009940,35
941,WBGene00012177,35
14786,WBGene00022674,35
4667,WBGene00018998,35
17171,WBGene00011054,35
1273,WBGene00000765,35
14363,WBGene00003425,35
4477,WBGene00017993,35
3322,WBGene00011908,35
4476,WBGene00017992,35
15519,WBGene00009058,35
3538,WBGene00012935,35
3319,WBGene00011887,35
17174,WBGene00019606,35
3781,WBGene00013877,35
3828,WBGene00014099,35
3314,WBGene00011875,35
17154,WBGene00017217,35
14652,WBGene00010612,35
4383,WBGene00017460,35
14711,WBGene00001876,35
1173,WBGene00000253,35
246,WBGene00044475,35
1174,WBGene00000254,35
490,WBGene00000389,35
16621,WBGene00012766,35
1598,WBGene00002042,35
2960,WBGene00010233,35
1375,WBGene00001081,35
1372,WBGene00001060,35
4585,WBGene00018659,35
2887,WBGene00009769,35
17621,WBGene00015450,35
17610,WBGene00016312,35
16411,WBGene00021237,35
4212,WBGene00016589,35
17598,WBGene00016323,35
4589,WBGene00018668,35
11233,WBGene00010373,35
17596,WBGene00014117,35
17587,WBGene00021596,35
9927,WBGene00022644,35
3156,WBGene00011139,35
9617,WBGene00003655,35
4543,WBGene00018420,35
4599,WBGene00018750,35
1693,WBGene00003047,35
16461,WBGene00001365,35
4208,WBGene00016582,35
16159,WBGene00011173,35
2929,WBGene00010042,35
10746,WBGene00019626,35
3168,WBGene00011225,35
17666,WBGene00011687,35
17659,WBGene00001088,35
978,WBGene00007192,35
4072,WBGene00016021,35
16320,WBGene00010449,35
1422,WBGene00001281,35
4900,WBGene00020208,35
3858,WBGene00014219,35
1428,WBGene00001333,35
10383,WBGene00003414,35
3719,WBGene00013597,35
19399,WBGene00009823,35
17647,WBGene00018336,35
10095,WBGene00002056,35
800,WBGene00016387,35
1377,WBGene00001086,35
4187,WBGene00016446,35
16349,WBGene00006843,35
3547,WBGene00012969,35
4439,WBGene00017796,35
2930,WBGene00010044,35
902,WBGene00003919,35
1631,WBGene00002189,35
8379,WBGene00004809,35
12494,WBGene00007415,35
3184,WBGene00011279,35
1338,WBGene00000987,35
17519,WBGene00008912,35
4253,WBGene00016793,35
2940,WBGene00010083,35
808,WBGene00014048,35
4250,WBGene00016790,35
4522,WBGene00018302,35
19388,WBGene00022890,35
4843,WBGene00019894,35
4078,WBGene00016062,35
12360,WBGene00013476,35
1335,WBGene00000961,35
1614,WBGene00002081,35
1313,WBGene00000880,35
3505,WBGene00012804,35
3888,WBGene00015075,35
9743,WBGene00016576,35
2931,WBGene00010048,35
4528,WBGene00018321,35
820,WBGene00021597,35
1069,WBGene00007255,35
17503,WBGene00003784,35
17552,WBGene00011834,35
12245,WBGene00010324,35
4507,WBGene00018186,34
4456,WBGene00017888,34
8766,WBGene00020117,34
901,WBGene00008852,34
3840,WBGene00014123,34
3761,WBGene00013737,34
18906,WBGene00010119,34
15467,WBGene00015690,34
3263,WBGene00011631,34
16199,WBGene00006416,34
3941,WBGene00015297,34
7419,WBGene00009304,34
9020,WBGene00013824,34
4517,WBGene00018252,34
2521,WBGene00007882,34
2520,WBGene00007860,34
6353,WBGene00009730,34
1961,WBGene00004282,34
6292,WBGene00014902,34
16127,WBGene00008651,34
8842,WBGene00015243,34
1989,WBGene00004341,34
2570,WBGene00008121,34
4487,WBGene00018015,34
16071,WBGene00008205,34
4539,WBGene00018399,34
2572,WBGene00008131,34
3756,WBGene00013724,34
1976,WBGene00004315,34
4533,WBGene00018363,34
15469,WBGene00001881,34
3621,WBGene00013224,34
8895,WBGene00012249,34
18887,WBGene00013203,34
1283,WBGene00000800,34
4554,WBGene00018479,34
16169,WBGene00008210,34
3203,WBGene00011329,34
6294,WBGene00012158,34
6258,WBGene00012445,34
4544,WBGene00018422,34
2586,WBGene00008177,34
5337,WBGene00022117,34
5713,WBGene00219218,34
9859,WBGene00013536,34
3438,WBGene00012479,34
2343,WBGene00007054,34
5508,WBGene00022792,34
11773,WBGene00017035,34
3808,WBGene00014023,34
5695,WBGene00195186,34
5498,WBGene00022750,34
12187,WBGene00007197,34
3414,WBGene00012361,34
12499,WBGene00019372,34
4224,WBGene00016631,34
5482,WBGene00022694,34
3402,WBGene00012277,34
2375,WBGene00007137,34
3504,WBGene00012803,34
3977,WBGene00015487,34
12638,WBGene00009659,34
474,WBGene00014129,34
2389,WBGene00007193,34
12753,WBGene00018010,34
2172,WBGene00006450,34
461,WBGene00004431,34
368,WBGene00012627,34
4289,WBGene00017011,34
3474,WBGene00012666,34
10202,WBGene00020282,34
10255,WBGene00005078,34
670,WBGene00016794,34
24205,WBGene00015731,34
3801,WBGene00014011,34
2289,WBGene00006931,34
10111,WBGene00018652,34
5593,WBGene00044608,34
3491,WBGene00012734,34
3802,WBGene00014012,34
370,WBGene00044447,34
1032,WBGene00006918,34
10741,WBGene00013296,34
10760,WBGene00006925,34
5623,WBGene00045357,34
5636,WBGene00077490,34
2215,WBGene00006605,34
5529,WBGene00023409,34
5528,WBGene00023405,34
5644,WBGene00077756,34
5654,WBGene00164985,34
5667,WBGene00194660,34
5749,WBGene00019208,34
2168,WBGene00006442,34
3270,WBGene00011648,34
4411,WBGene00017646,34
9230,WBGene00014239,34
3782,WBGene00013878,34
4371,WBGene00017372,34
1155,WBGene00000200,34
3310,WBGene00011857,34
3527,WBGene00012903,34
19001,WBGene00004491,34
2091,WBGene00004887,34
14902,WBGene00020084,34
4403,WBGene00017620,34
3283,WBGene00011735,34
3323,WBGene00011912,34
3675,WBGene00013431,34
14963,WBGene00018004,34
14966,WBGene00044633,34
5351,WBGene00022159,34
6134,WBGene00006928,34
939,WBGene00045306,34
14999,WBGene00016680,34
4,WBGene00022352,34
4428,WBGene00017758,34
5339,WBGene00022121,34
4365,WBGene00017347,34
3939,WBGene00015291,34
690,WBGene00012754,34
13274,WBGene00010000,34
3377,WBGene00012182,34
9582,WBGene00013776,34
19288,WBGene00012647,34
2158,WBGene00006402,34
965,WBGene00044434,34
19285,WBGene00009580,34
19283,WBGene00006910,34
5441,WBGene00022463,34
2424,WBGene00007417,34
2427,WBGene00007429,34
2153,WBGene00006390,34
14340,WBGene00006546,34
19616,WBGene00018957,34
19262,WBGene00010942,34
310,WBGene00009956,34
19480,WBGene00004417,34
3791,WBGene00013958,34
2132,WBGene00005903,34
14035,WBGene00012859,34
19234,WBGene00020275,34
3523,WBGene00012895,34
4350,WBGene00017283,34
8564,WBGene00019720,34
2915,WBGene00009975,34
17454,WBGene00017922,34
17770,WBGene00001661,34
7728,WBGene00020912,34
18459,WBGene00023419,34
3009,WBGene00010480,34
5571,WBGene00044371,34
6708,WBGene00020580,34
19585,WBGene00004945,34
17358,WBGene00009771,34
17782,WBGene00000145,34
17895,WBGene00022425,34
17580,WBGene00008371,34
17577,WBGene00017746,34
2696,WBGene00008767,34
2698,WBGene00008774,34
17314,WBGene00004469,34
2832,WBGene00009456,34
2831,WBGene00009452,34
2922,WBGene00010006,34
18477,WBGene00000301,34
2901,WBGene00009889,34
3065,WBGene00010720,34
5126,WBGene00021327,34
8110,WBGene00009101,34
4670,WBGene00019004,34
1878,WBGene00004039,34
17297,WBGene00008694,34
3710,WBGene00013574,34
4673,WBGene00019011,34
1756,WBGene00003397,34
4099,WBGene00016143,34
16871,WBGene00012149,34
5136,WBGene00021352,34
16884,WBGene00001239,34
1582,WBGene00002004,34
5132,WBGene00021346,34
1518,WBGene00001743,34
2673,WBGene00008646,34
16914,WBGene00019237,34
18485,WBGene00012189,34
3558,WBGene00012995,34
4707,WBGene00019200,34
18557,WBGene00001154,34
17214,WBGene00000396,34
17843,WBGene00012966,34
18169,WBGene00012121,34
1679,WBGene00003017,34
17853,WBGene00019595,34
17255,WBGene00045383,34
4079,WBGene00016067,34
17304,WBGene00004380,34
4741,WBGene00019396,34
5233,WBGene00021709,34
184,WBGene00012401,34
17293,WBGene00010839,34
3024,WBGene00010557,34
18122,WBGene00185078,34
2943,WBGene00010096,34
18114,WBGene00022206,34
2949,WBGene00010178,34
17868,WBGene00003967,34
17221,WBGene00015703,34
17206,WBGene00011688,34
17094,WBGene00002203,34
18193,WBGene00002002,34
19409,WBGene00001562,34
18086,WBGene00022025,34
5095,WBGene00021200,34
3722,WBGene00013601,34
17109,WBGene00006504,34
7908,WBGene00007479,34
2718,WBGene00008918,34
188,WBGene00019431,34
1539,WBGene00001835,34
5090,WBGene00021170,34
4998,WBGene00020706,34
18261,WBGene00021765,34
766,WBGene00013052,34
4715,WBGene00019245,34
17827,WBGene00021844,34
4997,WBGene00020705,34
3884,WBGene00015025,34
4821,WBGene00019820,34
16838,WBGene00021876,34
18039,WBGene00004891,34
17719,WBGene00019163,34
16494,WBGene00003246,34
7442,WBGene00001883,34
17648,WBGene00016586,34
4613,WBGene00018797,34
16518,WBGene00004498,34
3915,WBGene00015164,34
3929,WBGene00015235,34
16558,WBGene00008455,34
6417,WBGene00016985,34
18558,WBGene00013447,34
2627,WBGene00008413,34
4907,WBGene00020264,34
2858,WBGene00009584,34
740,WBGene00017195,34
17441,WBGene00022760,34
2598,WBGene00008266,34
5017,WBGene00020798,34
4609,WBGene00018778,34
4930,WBGene00020383,34
16475,WBGene00001921,34
6416,WBGene00013074,34
1441,WBGene00001405,34
17679,WBGene00001482,34
16414,WBGene00002071,34
16445,WBGene00000235,34
8489,WBGene00012113,34
2791,WBGene00009241,34
16454,WBGene00000996,34
6414,WBGene00044702,34
6427,WBGene00004893,34
6433,WBGene00014956,34
17693,WBGene00010624,34
6435,WBGene00017259,34
4581,WBGene00018635,34
17654,WBGene00022074,34
2629,WBGene00008417,34
18878,WBGene00007388,34
17947,WBGene00017984,34
4653,WBGene00018934,34
4782,WBGene00019673,34
4654,WBGene00018935,34
4659,WBGene00018960,34
17675,WBGene00011509,34
1404,WBGene00001224,34
2996,WBGene00010428,34
1510,WBGene00001678,34
4802,WBGene00019747,34
17731,WBGene00184990,34
4944,WBGene00020417,34
1613,WBGene00002080,34
3702,WBGene00013549,34
384,WBGene00007633,34
18584,WBGene00007579,34
5150,WBGene00021395,34
18662,WBGene00019207,34
7353,WBGene00018839,34
6385,WBGene00006423,34
1507,WBGene00001663,34
16628,WBGene00013242,34
17930,WBGene00008079,34
3123,WBGene00011017,34
18822,WBGene00014814,34
3164,WBGene00011194,34
17727,WBGene00017985,34
3110,WBGene00010898,34
5175,WBGene00021514,34
3872,WBGene00015001,34
16710,WBGene00021049,34
1502,WBGene00001645,34
17728,WBGene00021475,34
2638,WBGene00008430,34
4940,WBGene00020404,34
17493,WBGene00007225,34
4921,WBGene00020345,34
7179,WBGene00010150,33
772,WBGene00022580,33
17984,WBGene00000876,33
12512,WBGene00017058,33
1599,WBGene00002046,33
17969,WBGene00219661,33
17892,WBGene00018149,33
2171,WBGene00006448,33
828,WBGene00017853,33
2177,WBGene00006473,33
9658,WBGene00012925,33
12602,WBGene00016826,33
17898,WBGene00022185,33
17499,WBGene00001245,33
19323,WBGene00004427,33
9682,WBGene00022035,33
1951,WBGene00004256,33
5717,WBGene00219317,33
17603,WBGene00021763,33
17733,WBGene00020823,33
7478,WBGene00018807,33
2218,WBGene00006608,33
1022,WBGene00019061,33
10968,WBGene00015855,33
17626,WBGene00022586,33
10753,WBGene00022140,33
10725,WBGene00013318,33
1708,WBGene00003091,33
1009,WBGene00013857,33
3720,WBGene00013598,33
19477,WBGene00004446,33
17642,WBGene00008330,33
3985,WBGene00015509,33
2248,WBGene00006735,33
5594,WBGene00044614,33
17691,WBGene00016322,33
17680,WBGene00018230,33
2278,WBGene00006836,33
973,WBGene00010333,33
17599,WBGene00013862,33
12454,WBGene00006767,33
11222,WBGene00000111,33
2183,WBGene00006492,33
17544,WBGene00006503,33
12206,WBGene00012905,33
17836,WBGene00013482,33
778,WBGene00001242,33
17796,WBGene00012353,33
9748,WBGene00044487,33
9791,WBGene00015908,33
9795,WBGene00013775,33
11823,WBGene00001147,33
11567,WBGene00020293,33
17788,WBGene00007019,33
17574,WBGene00007106,33
17579,WBGene00007222,33
5680,WBGene00194981,33
9912,WBGene00021608,33
5673,WBGene00194725,33
17998,WBGene00009341,33
9936,WBGene00001879,33
7525,WBGene00007440,33
1136,WBGene00000147,33
967,WBGene00008262,33
6170,WBGene00017549,33
18727,WBGene00016608,33
3763,WBGene00013742,33
15584,WBGene00019989,33
6222,WBGene00004433,33
16782,WBGene00018572,33
15571,WBGene00011669,33
3676,WBGene00013434,33
6204,WBGene00004418,33
6194,WBGene00004490,33
18513,WBGene00019296,33
1235,WBGene00000502,33
18499,WBGene00007476,33
6121,WBGene00009025,33
16888,WBGene00019357,33
708,WBGene00019255,33
1210,WBGene00000415,33
18467,WBGene00002117,33
18440,WBGene00013344,33
18423,WBGene00000976,33
16961,WBGene00012203,33
18962,WBGene00003883,33
8026,WBGene00003089,33
16967,WBGene00021628,33
18390,WBGene00009176,33
8172,WBGene00001886,33
8173,WBGene00001917,33
3701,WBGene00013545,33
16670,WBGene00017360,33
3860,WBGene00014230,33
1392,WBGene00001153,33
6356,WBGene00014672,33
3935,WBGene00015267,33
6408,WBGene00009018,33
18866,WBGene00014914,33
3690,WBGene00013506,33
1365,WBGene00001048,33
16082,WBGene00020139,33
6325,WBGene00018760,33
16463,WBGene00001502,33
16465,WBGene00001538,33
1927,WBGene00004182,33
6444,WBGene00001325,33
6299,WBGene00005387,33
1339,WBGene00000994,33
16552,WBGene00008085,33
900,WBGene00007732,33
6289,WBGene00000022,33
3871,WBGene00014938,33
3928,WBGene00015233,33
16622,WBGene00012807,33
876,WBGene00018497,33
18389,WBGene00012745,33
8012,WBGene00044495,33
12956,WBGene00004962,33
2155,WBGene00006393,33
14015,WBGene00020372,33
1110,WBGene00000001,33
19423,WBGene00001895,33
18094,WBGene00010611,33
13650,WBGene00010136,33
13596,WBGene00008154,33
13524,WBGene00016698,33
17328,WBGene00002249,33
1561,WBGene00001938,33
18054,WBGene00007637,33
3658,WBGene00013350,33
1090,WBGene00016753,33
14948,WBGene00010493,33
13315,WBGene00001424,33
1587,WBGene00002017,33
17432,WBGene00023424,33
2156,WBGene00006396,33
17438,WBGene00016825,33
19280,WBGene00012094,33
17440,WBGene00044674,33
1823,WBGene00003802,33
17444,WBGene00016125,33
17450,WBGene00014667,33
17452,WBGene00009714,33
2129,WBGene00005648,33
17300,WBGene00001151,33
1116,WBGene00000080,33
17295,WBGene00013255,33
6081,WBGene00009020,33
3831,WBGene00014109,33
18361,WBGene00021748,33
18350,WBGene00013739,33
18292,WBGene00012483,33
6817,WBGene00022596,33
3776,WBGene00013805,33
6039,WBGene00012600,33
6029,WBGene00006496,33
3920,WBGene00015194,33
18253,WBGene00013239,33
14509,WBGene00020070,33
1855,WBGene00003921,33
18195,WBGene00014258,33
2104,WBGene00004951,33
18182,WBGene00008457,33
19096,WBGene00004436,33
3665,WBGene00013365,33
17240,WBGene00017316,33
846,WBGene00011344,33
2113,WBGene00004981,33
3969,WBGene00015463,33
14043,WBGene00019229,33
17669,WBGene00013696,33
17916,WBGene00012188,33
612,WBGene00022143,33
2493,WBGene00007707,33
3321,WBGene00011897,33
5123,WBGene00021315,33
4529,WBGene00018337,33
19391,WBGene00022450,33
4282,WBGene00016987,33
2444,WBGene00007514,33
3241,WBGene00011526,33
2884,WBGene00009731,33
3324,WBGene00011914,33
3122,WBGene00011016,33
2487,WBGene00007694,33
4694,WBGene00019132,33
3473,WBGene00012665,33
5373,WBGene00022251,33
3471,WBGene00012651,33
2583,WBGene00008172,33
4335,WBGene00017214,33
3411,WBGene00012344,33
4756,WBGene00019467,33
4256,WBGene00016816,33
4892,WBGene00020170,33
4628,WBGene00018848,33
3642,WBGene00013265,33
2501,WBGene00007757,33
5350,WBGene00022153,33
573,WBGene00010871,33
99,WBGene00013135,33
5257,WBGene00021828,33
5354,WBGene00022172,33
3223,WBGene00011411,33
5046,WBGene00020993,33
3214,WBGene00011375,33
4368,WBGene00017355,33
3520,WBGene00012888,33
278,WBGene00020864,33
3631,WBGene00013241,33
2873,WBGene00009667,33
4112,WBGene00016167,33
4287,WBGene00017005,33
3576,WBGene00013041,33
4285,WBGene00017003,33
4093,WBGene00016124,33
4284,WBGene00016990,33
4443,WBGene00017801,33
2814,WBGene00009352,33
4181,WBGene00016432,33
3443,WBGene00012496,33
4839,WBGene00019888,33
5005,WBGene00020753,33
5195,WBGene00021589,33
4031,WBGene00015807,33
3574,WBGene00013039,33
4230,WBGene00016652,33
2946,WBGene00010140,33
4452,WBGene00017852,33
247,WBGene00020348,33
2434,WBGene00007464,33
4245,WBGene00016750,33
4780,WBGene00019631,33
244,WBGene00015093,33
4823,WBGene00019822,33
2451,WBGene00007576,33
